# #for lambda=500nm
# #cos(delta)	rate
-9.999500004166652634e-01 1.724747876909291954e+05
-9.973173569503041014e-01 2.319953120615287116e+04
-9.906943849447265027e-01 1.181694887537587783e+04
-9.801075833212882227e-01 7.548080814081691642e+03
-9.655993105292455247e-01 5.330192765759865324e+03
-9.472276150669759476e-01 3.980963534477783014e+03
-9.250660032263395838e-01 3.083035866917216481e+03
-8.992031449894501982e-01 2.452642058921183434e+03
-8.697425192545836792e-01 1.988646339402419926e+03
-8.368019998106932533e-01 1.638113240803405233e+03
-8.005133837170779199e-01 1.366541165744004047e+03
-7.610218639751810121e-01 1.152492024824185137e+03
-7.184854486023944942e-01 9.812688626867212633e+02
-6.730743284321940578e-01 8.424972788465370286e+02
-6.249701961700653285e-01 7.292988394138144486e+02
-5.743655194297346833e-01 6.365463913725147904e+02
-5.214627706583202515e-01 5.596714997271760694e+02
-4.664736170315241792e-01 4.962075487086856924e+02
-4.096180735601520073e-01 4.432310691660313751e+02
-3.511236227964165124e-01 3.993729973382034473e+02
-2.912243046621564302e-01 3.629736281924930381e+02
-2.301597800406047223e-01 3.327964870390898113e+02
-1.681743718783473840e-01 3.078645383751875215e+02
-1.055160876340741349e-01 2.874456459136611670e+02
-4.243562698537111516e-02 2.707565129789852563e+02
2.081462123622328936e-02 2.573628952076682026e+02
8.398158886857212679e-02 2.467447141790827629e+02
1.468125409603351916e-01 2.385278152780188918e+02
2.090560869791707188e-01 2.322985284547822857e+02
2.704631866408296337e-01 2.278963649243290490e+02
3.307881463347652207e-01 2.248586547357933512e+02
3.897896021594906002e-01 2.230222963484058312e+02
4.472314856345048772e-01 2.222284487839924623e+02
5.028839682249094389e-01 2.223729551384232650e+02
5.565243808996169772e-01 2.231074509431236095e+02
6.079381050439408574e-01 2.243598099144246305e+02
6.569194311619719340e-01 2.261368800601879059e+02
7.032723819330148896e-01 2.281318678924922381e+02
7.468114963289933517e-01 2.302963856230699662e+02
7.873625716555132659e-01 2.327328972041094062e+02
8.247633605476379914e-01 2.351419787430242536e+02
8.588642201316464275e-01 2.374141850372132012e+02
8.895287107554445960e-01 2.396127782255418595e+02
9.166341418920662676e-01 2.416275464765522258e+02
9.400720630320736904e-01 2.435352687591582992e+02
9.597486976007659765e-01 2.451061909273601884e+02
9.755853181640639082e-01 2.464207944350197863e+02
9.875185614218523478e-01 2.474162007439816477e+02
9.955006817284698384e-01 2.480874780489159832e+02
9.994997421259953496e-01 2.484255020584330396e+02
9.994997421259953496e-01 2.484255020584330396e+02
9.955006817284698384e-01 2.480874780489159832e+02
9.875185614218523478e-01 2.474162007439816477e+02
9.755853181640640193e-01 2.464207944350197863e+02
9.597486976007660875e-01 2.451061909273603305e+02
9.400720630320738014e-01 2.435352687591582992e+02
9.166341418920662676e-01 2.416275464765522258e+02
8.895287107554445960e-01 2.396127782255418595e+02
8.588642201316467606e-01 2.374141850372132012e+02
8.247633605476382135e-01 2.351419787430242536e+02
7.873625716555135989e-01 2.327328972041093778e+02
7.468114963289933517e-01 2.302963856230699662e+02
7.032723819330152226e-01 2.281318678924922381e+02
6.569194311619722670e-01 2.261368800601878490e+02
6.079381050439413015e-01 2.243598099144246305e+02
5.565243808996174213e-01 2.231074509431236095e+02
5.028839682249094389e-01 2.223729551384232650e+02
4.472314856345052658e-01 2.222284487839924338e+02
3.897896021594906002e-01 2.230222963484058312e+02
3.307881463347654427e-01 2.248586547357934364e+02
2.704631866408302443e-01 2.278963649243290490e+02
2.090560869791707188e-01 2.322985284547822857e+02
1.468125409603356357e-01 2.385278152780188350e+02
8.398158886857190475e-02 2.467447141790828766e+02
2.081462123622351140e-02 2.573628952076682026e+02
-4.243562698537067107e-02 2.707565129789850857e+02
-1.055160876340741349e-01 2.874456459136611670e+02
-1.681743718783469399e-01 3.078645383751875215e+02
-2.301597800406040562e-01 3.327964870390896976e+02
-2.912243046621562081e-01 3.629736281924930381e+02
-3.511236227964161238e-01 3.993729973382032767e+02
-4.096180735601520073e-01 4.432310691660313751e+02
-4.664736170315241792e-01 4.962075487086856924e+02
-5.214627706583194744e-01 5.596714997271753873e+02
-5.743655194297346833e-01 6.365463913725147904e+02
-6.249701961700649955e-01 7.292988394138141075e+02
-6.730743284321940578e-01 8.424972788465370286e+02
-7.184854486023944942e-01 9.812688626867212633e+02
-7.610218639751803460e-01 1.152492024824182408e+03
-8.005133837170779199e-01 1.366541165744004047e+03
-8.368019998106930313e-01 1.638113240803402960e+03
-8.697425192545836792e-01 1.988646339402419926e+03
-8.992031449894501982e-01 2.452642058921183434e+03
-9.250660032263393617e-01 3.083035866917212388e+03
-9.472276150669759476e-01 3.980963534477783014e+03
-9.655993105292454137e-01 5.330192765759853501e+03
-9.801075833212882227e-01 7.548080814081691642e+03
-9.906943849447265027e-01 1.181694887537587783e+04
-9.973173569503039904e-01 2.319953120615247099e+04
-9.999500004166652634e-01 1.724747876909291954e+05
