# #for lambda=500nm
# #cos(delta)	rate
-9.999500004166652634e-01 8.159925483908463502e+05
-9.973173569503041014e-01 1.097954515157704009e+05
-9.906943849447265027e-01 5.589979616748848639e+04
-9.801075833212882227e-01 3.578715888301452651e+04
-9.655993105292455247e-01 2.535010142670833375e+04
-9.472276150669759476e-01 1.897741449260539957e+04
-9.250660032263395838e-01 1.473951108121054858e+04
-8.992031449894501982e-01 1.175664638170758371e+04
-8.697425192545836792e-01 9.563116689377398870e+03
-8.368019998106932533e-01 7.890826870357944244e+03
-8.005133837170779199e-01 6.602117573552791328e+03
-7.610218639751810121e-01 5.580547780936150048e+03
-7.184854486023944942e-01 4.762900829295505901e+03
-6.730743284321940578e-01 4.101637527185633189e+03
-6.249701961700653285e-01 3.561235468190301162e+03
-5.743655194297346833e-01 3.116318351175451880e+03
-5.214627706583202515e-01 2.746816593882319467e+03
-4.664736170315241792e-01 2.441372513809520115e+03
-4.096180735601520073e-01 2.185952806018552110e+03
-3.511236227964165124e-01 1.974841203284072208e+03
-2.912243046621564302e-01 1.799202031373279397e+03
-2.301597800406047223e-01 1.653391593103841387e+03
-1.681743718783473840e-01 1.532997882680727116e+03
-1.055160876340741349e-01 1.434044950929782090e+03
-4.243562698537111516e-02 1.353240513837624803e+03
2.081462123622328936e-02 1.288350314802786897e+03
8.398158886857212679e-02 1.236686148183204068e+03
1.468125409603351916e-01 1.196645618777286700e+03
2.090560869791707188e-01 1.166379597169252520e+03
2.704631866408296337e-01 1.144827994409446319e+03
3.307881463347652207e-01 1.129884141147174887e+03
3.897896021594906002e-01 1.120856442930037701e+03
4.472314856345048772e-01 1.117778231676100404e+03
5.028839682249094389e-01 1.117810355523939506e+03
5.565243808996169772e-01 1.121550156353641569e+03
6.079381050439408574e-01 1.127566111799067585e+03
6.569194311619719340e-01 1.136008533610935956e+03
7.032723819330148896e-01 1.145521123027467866e+03
7.468114963289933517e-01 1.155986583069763583e+03
7.873625716555132659e-01 1.167408103781232512e+03
8.247633605476379914e-01 1.178647212226027705e+03
8.588642201316464275e-01 1.190158305124605704e+03
8.895287107554445960e-01 1.201083800624431433e+03
9.166341418920662676e-01 1.210891817702868366e+03
9.400720630320736904e-01 1.219610448749533589e+03
9.597486976007659765e-01 1.227617373698225265e+03
9.755853181640639082e-01 1.233853630619204296e+03
9.875185614218523478e-01 1.238736592492443606e+03
9.955006817284698384e-01 1.241997417158438566e+03
9.994997421259953496e-01 1.243624418209661826e+03
9.994997421259953496e-01 1.243624418209661826e+03
9.955006817284698384e-01 1.241997417158438566e+03
9.875185614218523478e-01 1.238736592492443606e+03
9.755853181640640193e-01 1.233853630619203841e+03
9.597486976007660875e-01 1.227617373698225265e+03
9.400720630320738014e-01 1.219610448749533589e+03
9.166341418920662676e-01 1.210891817702868366e+03
8.895287107554445960e-01 1.201083800624431433e+03
8.588642201316467606e-01 1.190158305124605704e+03
8.247633605476382135e-01 1.178647212226027477e+03
7.873625716555135989e-01 1.167408103781232512e+03
7.468114963289933517e-01 1.155986583069763583e+03
7.032723819330152226e-01 1.145521123027467866e+03
6.569194311619722670e-01 1.136008533610935729e+03
6.079381050439413015e-01 1.127566111799067585e+03
5.565243808996174213e-01 1.121550156353641569e+03
5.028839682249094389e-01 1.117810355523939506e+03
4.472314856345052658e-01 1.117778231676100859e+03
3.897896021594906002e-01 1.120856442930037701e+03
3.307881463347654427e-01 1.129884141147174432e+03
2.704631866408302443e-01 1.144827994409446319e+03
2.090560869791707188e-01 1.166379597169252520e+03
1.468125409603356357e-01 1.196645618777285790e+03
8.398158886857190475e-02 1.236686148183204068e+03
2.081462123622351140e-02 1.288350314802786443e+03
-4.243562698537067107e-02 1.353240513837624121e+03
-1.055160876340741349e-01 1.434044950929782090e+03
-1.681743718783469399e-01 1.532997882680726207e+03
-2.301597800406040562e-01 1.653391593103839796e+03
-2.912243046621562081e-01 1.799202031373279397e+03
-3.511236227964161238e-01 1.974841203284071071e+03
-4.096180735601520073e-01 2.185952806018552110e+03
-4.664736170315241792e-01 2.441372513809520115e+03
-5.214627706583194744e-01 2.746816593882317193e+03
-5.743655194297346833e-01 3.116318351175451880e+03
-6.249701961700649955e-01 3.561235468190297070e+03
-6.730743284321940578e-01 4.101637527185633189e+03
-7.184854486023944942e-01 4.762900829295505901e+03
-7.610218639751803460e-01 5.580547780936142772e+03
-8.005133837170779199e-01 6.602117573552791328e+03
-8.368019998106930313e-01 7.890826870357932421e+03
-8.697425192545836792e-01 9.563116689377398870e+03
-8.992031449894501982e-01 1.175664638170758371e+04
-9.250660032263393617e-01 1.473951108121052312e+04
-9.472276150669759476e-01 1.897741449260539957e+04
-9.655993105292454137e-01 2.535010142670830464e+04
-9.801075833212882227e-01 3.578715888301452651e+04
-9.906943849447265027e-01 5.589979616748848639e+04
-9.973173569503039904e-01 1.097954515157684800e+05
-9.999500004166652634e-01 8.159925483908463502e+05
