# #for lambda=500nm
# #cos(delta)	rate
-9.999500004166652634e-01 1.269729115798191428e+08
-9.973173569503041014e-01 1.691531571666928008e+07
-9.906943849447265027e-01 8.718935578755993396e+06
-9.801075833212882227e-01 5.687191788198581897e+06
-9.655993105292455247e-01 4.109847522446886636e+06
-9.472276150669759476e-01 3.142683222086858004e+06
-9.250660032263395838e-01 2.493311116040107328e+06
-8.992031449894501982e-01 2.030767778587277979e+06
-8.697425192545836792e-01 1.684850828021683032e+06
-8.368019998106932533e-01 1.418489212846528972e+06
-8.005133837170779199e-01 1.209762481698361458e+06
-7.610218639751810121e-01 1.042892201877164422e+06
-7.184854486023944942e-01 9.066202746096287156e+05
-6.730743284321940578e-01 7.948793171504476340e+05
-6.249701961700653285e-01 7.027814583093299298e+05
-5.743655194297346833e-01 6.262579208593417425e+05
-5.214627706583202515e-01 5.621276131554757012e+05
-4.664736170315241792e-01 5.084248787898322335e+05
-4.096180735601520073e-01 4.634797376451493474e+05
-3.511236227964165124e-01 4.259244800887691672e+05
-2.912243046621564302e-01 3.943693341700941673e+05
-2.301597800406047223e-01 3.681617476978967898e+05
-1.681743718783473840e-01 3.465429009172879742e+05
-1.055160876340741349e-01 3.287944800030564656e+05
-4.243562698537111516e-02 3.140851195569235133e+05
2.081462123622328936e-02 3.022898942460584221e+05
8.398158886857212679e-02 2.928049500071980874e+05
1.468125409603351916e-01 2.856350394230211386e+05
2.090560869791707188e-01 2.801649923960124725e+05
2.704631866408296337e-01 2.762996842726087780e+05
3.307881463347652207e-01 2.737114258404836874e+05
3.897896021594906002e-01 2.722328638988442253e+05
4.472314856345048772e-01 2.717356801248101983e+05
5.028839682249094389e-01 2.717996516859705443e+05
5.565243808996169772e-01 2.727072811295057763e+05
6.079381050439408574e-01 2.740589398551524500e+05
6.569194311619719340e-01 2.755352878875682945e+05
7.032723819330148896e-01 2.774933911686419160e+05
7.468114963289933517e-01 2.796537507182871923e+05
7.873625716555132659e-01 2.817523712480164249e+05
8.247633605476379914e-01 2.841959797374194022e+05
8.588642201316464275e-01 2.864744330849305261e+05
8.895287107554445960e-01 2.884435263111859676e+05
9.166341418920662676e-01 2.905109470454762923e+05
9.400720630320736904e-01 2.921670669007745455e+05
9.597486976007659765e-01 2.936286464481530129e+05
9.755853181640639082e-01 2.949979394040341140e+05
9.875185614218523478e-01 2.958765462477317778e+05
9.955006817284698384e-01 2.965443924837940140e+05
9.994997421259953496e-01 2.968403644252146478e+05
9.994997421259953496e-01 2.968403644252146478e+05
9.955006817284698384e-01 2.965443924837940140e+05
9.875185614218523478e-01 2.958765462477317778e+05
9.755853181640640193e-01 2.949979394040341140e+05
9.597486976007660875e-01 2.936286464481530129e+05
9.400720630320738014e-01 2.921670669007745455e+05
9.166341418920662676e-01 2.905109470454762923e+05
8.895287107554445960e-01 2.884435263111859676e+05
8.588642201316467606e-01 2.864744330849305843e+05
8.247633605476382135e-01 2.841959797374193440e+05
7.873625716555135989e-01 2.817523712480164249e+05
7.468114963289933517e-01 2.796537507182871923e+05
7.032723819330152226e-01 2.774933911686424399e+05
6.569194311619722670e-01 2.755352878875684110e+05
6.079381050439413015e-01 2.740589398551524500e+05
5.565243808996174213e-01 2.727072811295058345e+05
5.028839682249094389e-01 2.717996516859705443e+05
4.472314856345052658e-01 2.717356801248101401e+05
3.897896021594906002e-01 2.722328638988442253e+05
3.307881463347654427e-01 2.737114258404836874e+05
2.704631866408302443e-01 2.762996842726087780e+05
2.090560869791707188e-01 2.801649923960124725e+05
1.468125409603356357e-01 2.856350394230210804e+05
8.398158886857190475e-02 2.928049500071981456e+05
2.081462123622351140e-02 3.022898942460583639e+05
-4.243562698537067107e-02 3.140851195569235133e+05
-1.055160876340741349e-01 3.287944800030564656e+05
-1.681743718783469399e-01 3.465429009172879159e+05
-2.301597800406040562e-01 3.681617476978966151e+05
-2.912243046621562081e-01 3.943693341700941673e+05
-3.511236227964161238e-01 4.259244800887689926e+05
-4.096180735601520073e-01 4.634797376451493474e+05
-4.664736170315241792e-01 5.084248787898322335e+05
-5.214627706583194744e-01 5.621276131554748863e+05
-5.743655194297346833e-01 6.262579208593417425e+05
-6.249701961700649955e-01 7.027814583093294641e+05
-6.730743284321940578e-01 7.948793171504476340e+05
-7.184854486023944942e-01 9.066202746096287156e+05
-7.610218639751803460e-01 1.042892201877161977e+06
-8.005133837170779199e-01 1.209762481698361458e+06
-8.368019998106930313e-01 1.418489212846527575e+06
-8.697425192545836792e-01 1.684850828021683032e+06
-8.992031449894501982e-01 2.030767778587277979e+06
-9.250660032263393617e-01 2.493311116040102672e+06
-9.472276150669759476e-01 3.142683222086858004e+06
-9.655993105292454137e-01 4.109847522446880583e+06
-9.801075833212882227e-01 5.687191788198581897e+06
-9.906943849447265027e-01 8.718935578755993396e+06
-9.973173569503039904e-01 1.691531571666904539e+07
-9.999500004166652634e-01 1.269729115798191428e+08
