# #for lambda=500nm
# #cos(delta)	rate
-9.999500004166652634e-01 2.137775531185069680e+07
-9.973173569503041014e-01 2.850010647360231262e+06
-9.906943849447265027e-01 1.460839347550988197e+06
-9.801075833212882227e-01 9.446742622232675785e+05
-9.655993105292455247e-01 6.762305080116998870e+05
-9.472276150669759476e-01 5.124543789012375637e+05
-9.250660032263395838e-01 4.023602431405602256e+05
-8.992031449894501982e-01 3.245726463830727735e+05
-8.697425192545836792e-01 2.667140485760342563e+05
-8.368019998106932533e-01 2.225254429247896769e+05
-8.005133837170779199e-01 1.879887908900518378e+05
-7.610218639751810121e-01 1.606006991266458062e+05
-7.184854486023944942e-01 1.382775690326908953e+05
-6.730743284321940578e-01 1.202041532127944811e+05
-6.249701961700653285e-01 1.052542550671865756e+05
-5.743655194297346833e-01 9.294065372710993688e+04
-5.214627706583202515e-01 8.271809689469136356e+04
-4.664736170315241792e-01 7.411628254529729020e+04
-4.096180735601520073e-01 6.701158539723732974e+04
-3.511236227964165124e-01 6.107004255574390118e+04
-2.912243046621564302e-01 5.610342974049625627e+04
-2.301597800406047223e-01 5.198781462212303450e+04
-1.681743718783473840e-01 4.856167999068870267e+04
-1.055160876340741349e-01 4.573560108934903110e+04
-4.243562698537111516e-02 4.343513610849472752e+04
2.081462123622328936e-02 4.158846263019886828e+04
8.398158886857212679e-02 4.010408485842567461e+04
1.468125409603351916e-01 3.896496398957900237e+04
2.090560869791707188e-01 3.809488817984560592e+04
2.704631866408296337e-01 3.746683461203168554e+04
3.307881463347652207e-01 3.705316192529627006e+04
3.897896021594906002e-01 3.678722028730395687e+04
4.472314856345048772e-01 3.666851027825809433e+04
5.028839682249094389e-01 3.667159917473481619e+04
5.565243808996169772e-01 3.680768137686471164e+04
6.079381050439408574e-01 3.697737260914232320e+04
6.569194311619719340e-01 3.721021885424469656e+04
7.032723819330148896e-01 3.750186493200939003e+04
7.468114963289933517e-01 3.781917794328968012e+04
7.873625716555132659e-01 3.813890922552814300e+04
8.247633605476379914e-01 3.847467680012434721e+04
8.588642201316464275e-01 3.879673873885718785e+04
8.895287107554445960e-01 3.910638182981374121e+04
9.166341418920662676e-01 3.939252473652187473e+04
9.400720630320736904e-01 3.964445643866899627e+04
9.597486976007659765e-01 3.989127370391075965e+04
9.755853181640639082e-01 4.007100004400095349e+04
9.875185614218523478e-01 4.021585607531759160e+04
9.955006817284698384e-01 4.031087291737212217e+04
9.994997421259953496e-01 4.035690009165159427e+04
9.994997421259953496e-01 4.035690009165159427e+04
9.955006817284698384e-01 4.031087291737212217e+04
9.875185614218523478e-01 4.021585607531759160e+04
9.755853181640640193e-01 4.007100004400095349e+04
9.597486976007660875e-01 3.989127370391075965e+04
9.400720630320738014e-01 3.964445643866899627e+04
9.166341418920662676e-01 3.939252473652187473e+04
8.895287107554445960e-01 3.910638182981374121e+04
8.588642201316467606e-01 3.879673873885718058e+04
8.247633605476382135e-01 3.847467680012434721e+04
7.873625716555135989e-01 3.813890922552813572e+04
7.468114963289933517e-01 3.781917794328968012e+04
7.032723819330152226e-01 3.750186493200938276e+04
6.569194311619722670e-01 3.721021885424469656e+04
6.079381050439413015e-01 3.697737260914230865e+04
5.565243808996174213e-01 3.680768137686470436e+04
5.028839682249094389e-01 3.667159917473481619e+04
4.472314856345052658e-01 3.666851027825809433e+04
3.897896021594906002e-01 3.678722028730395687e+04
3.307881463347654427e-01 3.705316192529626278e+04
2.704631866408302443e-01 3.746683461203167826e+04
2.090560869791707188e-01 3.809488817984560592e+04
1.468125409603356357e-01 3.896496398957898782e+04
8.398158886857190475e-02 4.010408485842567461e+04
2.081462123622351140e-02 4.158846263019886828e+04
-4.243562698537067107e-02 4.343513610849472025e+04
-1.055160876340741349e-01 4.573560108934903110e+04
-1.681743718783469399e-01 4.856167999068868085e+04
-2.301597800406040562e-01 5.198781462212299812e+04
-2.912243046621562081e-01 5.610342974049625627e+04
-3.511236227964161238e-01 6.107004255574388662e+04
-4.096180735601520073e-01 6.701158539723732974e+04
-4.664736170315241792e-01 7.411628254529729020e+04
-5.214627706583194744e-01 8.271809689469129080e+04
-5.743655194297346833e-01 9.294065372710993688e+04
-6.249701961700649955e-01 1.052542550671864446e+05
-6.730743284321940578e-01 1.202041532127944811e+05
-7.184854486023944942e-01 1.382775690326908953e+05
-7.610218639751803460e-01 1.606006991266455734e+05
-8.005133837170779199e-01 1.879887908900518378e+05
-8.368019998106930313e-01 2.225254429247894150e+05
-8.697425192545836792e-01 2.667140485760342563e+05
-8.992031449894501982e-01 3.245726463830727735e+05
-9.250660032263393617e-01 4.023602431405597599e+05
-9.472276150669759476e-01 5.124543789012375637e+05
-9.655993105292454137e-01 6.762305080116988393e+05
-9.801075833212882227e-01 9.446742622232675785e+05
-9.906943849447265027e-01 1.460839347550988197e+06
-9.973173569503039904e-01 2.850010647360172588e+06
-9.999500004166652634e-01 2.137775531185069680e+07
