# #for lambda=500nm
# #cos(delta)	rate
-9.999500004166652634e-01 2.683639411571293749e+04
-9.973173569503041014e-01 5.063165995905971613e+03
-9.906943849447265027e-01 2.577457561143724433e+03
-9.801075833212882227e-01 1.646272473326873524e+03
-9.655993105292455247e-01 1.160456722738828148e+03
-9.472276150669759476e-01 8.657442013559456200e+02
-9.250660032263395838e-01 6.695766682959225591e+02
-8.992031449894501982e-01 5.315097583822970364e+02
-8.697425192545836792e-01 4.304447770433242795e+02
-8.368019998106932533e-01 3.539667068869244417e+02
-8.005133837170779199e-01 2.945909609725760561e+02
-7.610218639751810121e-01 2.480134194863738344e+02
-7.184854486023944942e-01 2.107512307688794806e+02
-6.730743284321940578e-01 1.806506332890202486e+02
-6.249701961700653285e-01 1.561336205279025648e+02
-5.743655194297346833e-01 1.359755552372554916e+02
-5.214627706583202515e-01 1.193886504794882200e+02
-4.664736170315241792e-01 1.056109132044846177e+02
-4.096180735601520073e-01 9.421946800110923448e+01
-3.511236227964165124e-01 8.473584691038082894e+01
-2.912243046621564302e-01 7.682194610059463002e+01
-2.301597800406047223e-01 7.031036950061579205e+01
-1.681743718783473840e-01 6.493816187005836582e+01
-1.055160876340741349e-01 6.053216388983371843e+01
-4.243562698537111516e-02 5.694782328863620080e+01
2.081462123622328936e-02 5.406901046499194763e+01
8.398158886857212679e-02 5.180257795875409954e+01
1.468125409603351916e-01 5.002499447566950153e+01
2.090560869791707188e-01 4.870896117728549513e+01
2.704631866408296337e-01 4.775301728344792451e+01
3.307881463347652207e-01 4.710021308894246062e+01
3.897896021594906002e-01 4.672020481723289009e+01
4.472314856345048772e-01 4.655399917896648532e+01
5.028839682249094389e-01 4.657381093788002602e+01
5.565243808996169772e-01 4.674839925433605003e+01
6.079381050439408574e-01 4.703096136306901798e+01
6.569194311619719340e-01 4.739525586639776122e+01
7.032723819330148896e-01 4.785570118310545951e+01
7.468114963289933517e-01 4.834941812962868823e+01
7.873625716555132659e-01 4.884529290737335572e+01
8.247633605476379914e-01 4.935312354945704527e+01
8.588642201316464275e-01 4.984656870182922717e+01
8.895287107554445960e-01 5.031735199623942378e+01
9.166341418920662676e-01 5.075976599293453972e+01
9.400720630320736904e-01 5.116552034470916510e+01
9.597486976007659765e-01 5.150584934977887031e+01
9.755853181640639082e-01 5.179060166077391614e+01
9.875185614218523478e-01 5.200617025987756392e+01
9.955006817284698384e-01 5.215151854812204135e+01
9.994997421259953496e-01 5.222469595507413942e+01
9.994997421259953496e-01 5.222469595507413942e+01
9.955006817284698384e-01 5.215151854812204135e+01
9.875185614218523478e-01 5.200617025987756392e+01
9.755853181640640193e-01 5.179060166077391614e+01
9.597486976007660875e-01 5.150584934977887031e+01
9.400720630320738014e-01 5.116552034470915089e+01
9.166341418920662676e-01 5.075976599293453972e+01
8.895287107554445960e-01 5.031735199623942378e+01
8.588642201316467606e-01 4.984656870182922717e+01
8.247633605476382135e-01 4.935312354945704527e+01
7.873625716555135989e-01 4.884529290737335572e+01
7.468114963289933517e-01 4.834941812962868823e+01
7.032723819330152226e-01 4.785570118310555898e+01
6.569194311619722670e-01 4.739525586639776122e+01
6.079381050439413015e-01 4.703096136306901798e+01
5.565243808996174213e-01 4.674839925433605003e+01
5.028839682249094389e-01 4.657381093788002602e+01
4.472314856345052658e-01 4.655399917896648532e+01
3.897896021594906002e-01 4.672020481723289009e+01
3.307881463347654427e-01 4.710021308894243930e+01
2.704631866408302443e-01 4.775301728344791030e+01
2.090560869791707188e-01 4.870896117728549513e+01
1.468125409603356357e-01 5.002499447566949442e+01
8.398158886857190475e-02 5.180257795875409954e+01
2.081462123622351140e-02 5.406901046499194763e+01
-4.243562698537067107e-02 5.694782328863617948e+01
-1.055160876340741349e-01 6.053216388983371843e+01
-1.681743718783469399e-01 6.493816187005829477e+01
-2.301597800406040562e-01 7.031036950061570678e+01
-2.912243046621562081e-01 7.682194610059460160e+01
-3.511236227964161238e-01 8.473584691038061578e+01
-4.096180735601520073e-01 9.421946800110923448e+01
-4.664736170315241792e-01 1.056109132044846177e+02
-5.214627706583194744e-01 1.193886504794880636e+02
-5.743655194297346833e-01 1.359755552372554916e+02
-6.249701961700649955e-01 1.561336205279024512e+02
-6.730743284321940578e-01 1.806506332890202486e+02
-7.184854486023944942e-01 2.107512307688794806e+02
-7.610218639751803460e-01 2.480134194863732944e+02
-8.005133837170779199e-01 2.945909609725760561e+02
-8.368019998106930313e-01 3.539667068869239301e+02
-8.697425192545836792e-01 4.304447770433242795e+02
-8.992031449894501982e-01 5.315097583822970364e+02
-9.250660032263393617e-01 6.695766682959211948e+02
-9.472276150669759476e-01 8.657442013559456200e+02
-9.655993105292454137e-01 1.160456722738827466e+03
-9.801075833212882227e-01 1.646272473326873524e+03
-9.906943849447265027e-01 2.577457561143724433e+03
-9.973173569503039904e-01 5.063165995905878844e+03
-9.999500004166652634e-01 2.683639411571293749e+04
