# #for lambda=525.0nm
# #Distance	rate
1.000000000000000000e+02 1.112550591747367253e+04
1.025252525252525260e+02 9.460778062494377082e+03
1.050505050505050519e+02 8.053317871494898100e+03
1.075757575757575779e+02 6.863553074340590683e+03
1.101010101010101039e+02 5.853868092225064174e+03
1.126262626262626299e+02 4.997307543602887563e+03
1.151515151515151558e+02 4.269792247489950569e+03
1.176767676767676676e+02 3.651559460408169798e+03
1.202020202020202078e+02 3.125440923124679557e+03
1.227272727272727195e+02 2.677146986701188325e+03
1.252525252525252597e+02 2.294730821637987447e+03
1.277777777777777715e+02 1.968667967346768137e+03
1.303030303030303116e+02 1.689914114190592272e+03
1.328282828282828234e+02 1.451500728379914108e+03
1.353535353535353352e+02 1.247783171899774743e+03
1.378787878787878753e+02 1.073111228405437032e+03
1.404040404040404155e+02 9.235075204336104662e+02
1.429292929292929273e+02 7.953021722261787545e+02
1.454545454545454390e+02 6.852170039990874102e+02
1.479797979797979792e+02 5.906998974281510755e+02
1.505050505050505194e+02 5.095346085314000106e+02
1.530303030303030312e+02 4.396581263401174624e+02
1.555555555555555429e+02 3.796180762515589322e+02
1.580808080808080831e+02 3.278871757354001488e+02
1.606060606060605949e+02 2.833731756081589879e+02
1.631313131313131350e+02 2.450206567434313456e+02
1.656565656565656468e+02 2.119302942794732587e+02
1.681818181818181870e+02 1.833873300478632018e+02
1.707070707070706987e+02 1.587503815978823809e+02
1.732323232323232105e+02 1.374864805262045593e+02
1.757575757575757507e+02 1.191072732534362473e+02
1.782828282828282909e+02 1.032389269129722038e+02
1.808080808080808026e+02 8.951391839559137509e+01
1.833333333333333144e+02 7.764084139501672155e+01
1.858585858585858546e+02 6.736627092064625799e+01
1.883838383838383947e+02 5.846658703162886184e+01
1.909090909090909065e+02 5.076034170835833237e+01
1.934343434343434183e+02 4.408705553046142001e+01
1.959595959595959584e+02 3.829908152316033920e+01
1.984848484848484986e+02 3.328294057895171676e+01
2.010101010101010104e+02 2.893114870694790852e+01
2.035353535353535221e+02 2.515716252530404162e+01
2.060606060606060623e+02 2.188212404384413645e+01
2.085858585858585741e+02 1.903787899904603265e+01
2.111111111111110858e+02 1.656797694325687687e+01
2.136363636363636260e+02 1.442246483832627035e+01
2.161616161616161662e+02 1.255827207696079739e+01
2.186868686868686780e+02 1.093753877849323075e+01
2.212121212121211897e+02 9.528740717363485047e+00
2.237373737373737299e+02 8.302881513070976993e+00
2.262626262626262701e+02 7.236687357813354815e+00
2.287878787878787818e+02 6.308797954437130429e+00
2.313131313131312936e+02 5.501115638573256028e+00
2.338383838383838338e+02 4.797969928433574616e+00
2.363636363636363455e+02 4.185606101423744008e+00
2.388888888888888857e+02 3.652063645145526394e+00
2.414141414141413975e+02 3.187218837147859141e+00
2.439393939393939377e+02 2.782238061050293254e+00
2.464646464646464494e+02 2.429178719179561963e+00
2.489898989898989896e+02 2.121238103977725054e+00
2.515151515151515014e+02 1.852781485229945790e+00
2.540404040404040416e+02 1.618603045654036565e+00
2.565656565656565817e+02 1.414226952733194986e+00
2.590909090909091219e+02 1.235937263483179338e+00
2.616161616161616053e+02 1.080314193444725790e+00
2.641414141414140886e+02 9.444697478575357907e-01
2.666666666666666288e+02 8.257997696377783470e-01
2.691919191919191690e+02 7.221783741001508439e-01
2.717171717171717091e+02 6.317040824603016302e-01
2.742424242424242493e+02 5.526086483747090217e-01
2.767676767676767895e+02 4.835041611289137564e-01
2.792929292929292728e+02 4.231232610803528082e-01
2.818181818181818130e+02 3.703408711983060542e-01
2.843434343434342964e+02 3.241947003370881930e-01
2.868686868686868365e+02 2.838326424415094640e-01
2.893939393939393767e+02 2.485306066595554531e-01
2.919191919191919169e+02 2.176452455984013989e-01
2.944444444444444571e+02 1.906327671519759404e-01
2.969696969696969973e+02 1.669910711945392645e-01
2.994949494949494806e+02 1.463033157874828460e-01
3.020202020202020208e+02 1.281929920661880329e-01
3.045454545454545041e+02 1.123391391137403966e-01
3.070707070707070443e+02 9.846189068501290387e-02
3.095959595959595845e+02 8.630762546205522634e-02
3.121212121212121247e+02 7.566667627012300945e-02
3.146464646464646648e+02 6.634607949662253701e-02
3.171717171717171482e+02 5.817882566623056029e-02
3.196969696969696884e+02 5.102263023455715085e-02
3.222222222222221717e+02 4.475199440616404317e-02
3.247474747474747119e+02 3.925624826219380192e-02
3.272727272727272521e+02 3.444049691909856908e-02
3.297979797979797922e+02 3.021835072777212181e-02
3.323232323232323324e+02 2.651668530556912720e-02
3.348484848484848726e+02 2.327126536331693835e-02
3.373737373737373559e+02 2.042590194806353371e-02
3.398989898989898961e+02 1.793002589923134438e-02
3.424242424242423795e+02 1.574035397958531424e-02
3.449494949494949196e+02 1.381983481442369995e-02
3.474747474747474598e+02 1.213467100901000420e-02
3.500000000000000000e+02 1.065635233077111624e-02
