# #for lambda=500.0nm
# #Distance	rate
1.000000000000000000e+02 2.812841111730238190e+05
1.025252525252525260e+02 2.524441381905019225e+05
1.050505050505050519e+02 2.267683344041552045e+05
1.075757575757575779e+02 2.039306141220851277e+05
1.101010101010101039e+02 1.835197495796240692e+05
1.126262626262626299e+02 1.652974160424020374e+05
1.151515151515151558e+02 1.489989714692966663e+05
1.176767676767676676e+02 1.344294201719505072e+05
1.202020202020202078e+02 1.213719952526963461e+05
1.227272727272727195e+02 1.096688002750110754e+05
1.252525252525252597e+02 9.915051997707491682e+04
1.277777777777777715e+02 8.971366429942857940e+04
1.303030303030303116e+02 8.122370653945152299e+04
1.328282828282828234e+02 7.357099304866259627e+04
1.353535353535353352e+02 6.669939164007133513e+04
1.378787878787878753e+02 6.048915194811402762e+04
1.404040404040404155e+02 5.489351629272641730e+04
1.429292929292929273e+02 4.984744394343145541e+04
1.454545454545454390e+02 4.528423769299734704e+04
1.479797979797979792e+02 4.116021670883543266e+04
1.505050505050505194e+02 3.743496529880093294e+04
1.530303030303030312e+02 3.405470211657835171e+04
1.555555555555555429e+02 3.099997534546839961e+04
1.580808080808080831e+02 2.822762620640631940e+04
1.606060606060605949e+02 2.571835156584923243e+04
1.631313131313131350e+02 2.344270654158466641e+04
1.656565656565656468e+02 2.137376366908622731e+04
1.681818181818181870e+02 1.949680147274937553e+04
1.707070707070706987e+02 1.779026395989125012e+04
1.732323232323232105e+02 1.624073583077261537e+04
1.757575757575757507e+02 1.482997971662153395e+04
1.782828282828282909e+02 1.354882937824770306e+04
1.808080808080808026e+02 1.238186875707481886e+04
1.833333333333333144e+02 1.131937558555431315e+04
1.858585858585858546e+02 1.035145472530337247e+04
1.883838383838383947e+02 9.468548995049399309e+03
1.909090909090909065e+02 8.663979987558912399e+03
1.934343434343434183e+02 7.930778864798610812e+03
1.959595959595959584e+02 7.260866427420956825e+03
1.984848484848484986e+02 6.650084654646197123e+03
2.010101010101010104e+02 6.091916091133943155e+03
2.035353535353535221e+02 5.582466668786032642e+03
2.060606060606060623e+02 5.117395800050473554e+03
2.085858585858585741e+02 4.691917583231547724e+03
2.111111111111110858e+02 4.302902022700815905e+03
2.136363636363636260e+02 3.947117695073556206e+03
2.161616161616161662e+02 3.621784213164745324e+03
2.186868686868686780e+02 3.323921051121920300e+03
2.212121212121211897e+02 3.051432274486393453e+03
2.237373737373737299e+02 2.801783509531583604e+03
2.262626262626262701e+02 2.573318832429632948e+03
2.287878787878787818e+02 2.363867821233068753e+03
2.313131313131312936e+02 2.171974653068386488e+03
2.338383838383838338e+02 1.996064771496543472e+03
2.363636363636363455e+02 1.834820067047352950e+03
2.388888888888888857e+02 1.686859999032968290e+03
2.414141414141413975e+02 1.551147977848992696e+03
2.439393939393939377e+02 1.426771556200871828e+03
2.464646464646464494e+02 1.312559064965742436e+03
2.489898989898989896e+02 1.207640236597968396e+03
2.515151515151515014e+02 1.111361276169513530e+03
2.540404040404040416e+02 1.022980985211548045e+03
2.565656565656565817e+02 9.417234080703724430e+02
2.590909090909091219e+02 8.671410379588800197e+02
2.616161616161616053e+02 7.985990241191863106e+02
2.641414141414140886e+02 7.355982914801320476e+02
2.666666666666666288e+02 6.776251566521222003e+02
2.691919191919191690e+02 6.243426469993726187e+02
2.717171717171717091e+02 5.754034157300361585e+02
2.742424242424242493e+02 5.303121239116111383e+02
2.767676767676767895e+02 4.888446134042177960e+02
2.792929292929292728e+02 4.507125564781302955e+02
2.818181818181818130e+02 4.156102046321650505e+02
2.843434343434342964e+02 3.833005649909479757e+02
2.868686868686868365e+02 3.535454080912250561e+02
2.893939393939393767e+02 3.261508489303437841e+02
2.919191919191919169e+02 3.009044262091340443e+02
2.944444444444444571e+02 2.776668507868470215e+02
2.969696969696969973e+02 2.562486735554919619e+02
2.994949494949494806e+02 2.365164091545616998e+02
3.020202020202020208e+02 2.183275519300959502e+02
3.045454545454545041e+02 2.015578714913640397e+02
3.070707070707070443e+02 1.861112171341146961e+02
3.095959595959595845e+02 1.718631645245480399e+02
3.121212121212121247e+02 1.587353166827350890e+02
3.146464646464646648e+02 1.466303817048357132e+02
3.171717171717171482e+02 1.354556290147433799e+02
3.196969696969696884e+02 1.251462952015915135e+02
3.222222222222221717e+02 1.156342582065777265e+02
3.247474747474747119e+02 1.068545505942817329e+02
3.272727272727272521e+02 9.875931820839041109e+01
3.297979797979797922e+02 9.128505271417343181e+01
3.323232323232323324e+02 8.438366336120274980e+01
3.348484848484848726e+02 7.801513987988546717e+01
3.373737373737373559e+02 7.213659828782560623e+01
3.398989898989898961e+02 6.670639392964072556e+01
3.424242424242423795e+02 6.168847013101591870e+01
3.449494949494949196e+02 5.705532256522387513e+01
3.474747474747474598e+02 5.277485198711362102e+01
3.500000000000000000e+02 4.882161944687828026e+01
