# #for lambda=600.0nm
# #Distance	rate
1.000000000000000000e+02 2.030422798596026368e+00
1.025252525252525260e+02 1.464156096027635190e+00
1.050505050505050519e+02 1.057032982943476362e+00
1.075757575757575779e+02 7.639939434862580425e-01
1.101010101010101039e+02 5.526824305708993856e-01
1.126262626262626299e+02 4.002138877443411347e-01
1.151515151515151558e+02 2.900857448295910412e-01
1.176767676767676676e+02 2.104559195215776612e-01
1.202020202020202078e+02 1.528165340369482261e-01
1.227272727272727195e+02 1.110575737808786601e-01
1.252525252525252597e+02 8.077564417361857152e-02
1.277777777777777715e+02 5.879430635233669905e-02
1.303030303030303116e+02 4.282549961638056762e-02
1.328282828282828234e+02 3.121839378472620816e-02
1.353535353535353352e+02 2.277209273829108524e-02
1.378787878787878753e+02 1.662234089765341274e-02
1.404040404040404155e+02 1.214044380411483277e-02
1.429292929292929273e+02 8.872445955985800575e-03
1.454545454545454390e+02 6.488317962231096407e-03
1.479797979797979792e+02 4.747716467181830463e-03
1.505050505050505194e+02 3.475796725980953485e-03
1.530303030303030312e+02 2.545927824191244679e-03
1.555555555555555429e+02 1.865848776187558917e-03
1.580808080808080831e+02 1.368126899419819980e-03
1.606060606060605949e+02 1.003668974925260192e-03
1.631313131313131350e+02 7.366586285572036341e-04
1.656565656565656468e+02 5.409307426488803392e-04
1.681818181818181870e+02 3.973755720992683455e-04
1.707070707070706987e+02 2.920561941970915235e-04
1.732323232323232105e+02 2.147330133916207037e-04
1.757575757575757507e+02 1.579442727416858485e-04
1.782828282828282909e+02 1.162204596907833316e-04
1.808080808080808026e+02 8.555897594313501865e-05
1.833333333333333144e+02 6.301022530302534939e-05
1.858585858585858546e+02 4.642278510418075408e-05
1.883838383838383947e+02 3.421175197218949464e-05
1.909090909090909065e+02 2.522029426739770677e-05
1.934343434343434183e+02 1.859831055844420934e-05
1.959595959595959584e+02 1.371970860753516272e-05
1.984848484848484986e+02 1.012398493393439704e-05
2.010101010101010104e+02 7.472958452547425448e-06
2.035353535353535221e+02 5.517890519129828289e-06
2.060606060606060623e+02 4.075692727103460186e-06
2.085858585858585741e+02 3.011141151459103870e-06
2.111111111111110858e+02 2.225277707422624785e-06
2.136363636363636260e+02 1.644972737283665426e-06
2.161616161616161662e+02 1.216308566151207084e-06
2.186868686868686780e+02 8.996246003727786860e-07
2.212121212121211897e+02 6.655994161239688075e-07
2.237373737373737299e+02 4.925390793673854360e-07
2.262626262626262701e+02 3.645741919652926143e-07
2.287878787878787818e+02 2.699153414281005743e-07
2.313131313131312936e+02 1.998900918058902387e-07
2.338383838383838338e+02 1.480600371054265039e-07
2.363636363636363455e+02 1.096934725223701749e-07
2.388888888888888857e+02 8.129061722832772010e-08
2.414141414141413975e+02 6.025350079846613362e-08
2.439393939393939377e+02 4.467136982225896594e-08
2.464646464646464494e+02 3.312427667365167024e-08
2.489898989898989896e+02 2.456712633603568311e-08
2.515151515151515014e+02 1.822413722753513429e-08
2.540404040404040416e+02 1.352177340102913757e-08
2.565656565656565817e+02 1.003452839451636205e-08
2.590909090909091219e+02 7.448041106113633794e-09
2.616161616161616053e+02 5.529268664983862971e-09
2.641414141414140886e+02 4.105632018321847737e-09
2.666666666666666288e+02 3.049036040361734962e-09
2.691919191919191690e+02 2.264784034451762882e-09
2.717171717171717091e+02 1.682513685323346959e-09
2.742424242424242493e+02 1.250153051020624254e-09
2.767676767676767895e+02 9.290554840308186805e-10
2.792929292929292728e+02 6.905397432920740503e-10
2.818181818181818130e+02 5.133548760519844115e-10
2.843434343434342964e+02 3.816993062289587186e-10
2.868686868686868365e+02 2.838414654578990999e-10
2.893939393939393767e+02 2.111024643647213294e-10
2.919191919191919169e+02 1.570274883141484854e-10
2.944444444444444571e+02 1.168212232989080267e-10
2.969696969696969973e+02 8.692217616701904693e-11
2.994949494949494806e+02 6.468452371423402102e-11
3.020202020202020208e+02 4.814290230932854843e-11
3.045454545454545041e+02 3.583618543771935593e-11
3.070707070707070443e+02 2.667903348729252798e-11
3.095959595959595845e+02 1.986441285534622279e-11
3.121212121212121247e+02 1.479242743408854311e-11
3.146464646464646648e+02 1.101687588433051153e-11
3.171717171717171482e+02 8.206047715107193368e-12
3.196969696969696884e+02 6.113091747225769468e-12
3.222222222222221717e+02 4.554497754152835167e-12
3.247474747474747119e+02 3.393692552568634212e-12
3.272727272727272521e+02 2.529066487855969824e-12
3.297979797979797922e+02 1.884936697990871145e-12
3.323232323232323324e+02 1.405014500301460744e-12
3.348484848484848726e+02 1.047405704047904878e-12
3.373737373737373559e+02 7.809059453085093822e-13
3.398989898989898961e+02 5.822747939003264877e-13
3.424242424242423795e+02 4.342148868682025065e-13
3.449494949494949196e+02 3.238377381320715746e-13
3.474747474747474598e+02 2.415437566153149432e-13
3.500000000000000000e+02 1.801811086701577843e-13
