# #for lambda=350.0nm
# #Distance	rate
1.000000000000000000e+02 8.537719149263022700e+05
1.025252525252525260e+02 7.209902343693330185e+05
1.050505050505050519e+02 6.094950251397363609e+05
1.075757575757575779e+02 5.158733941106735147e+05
1.101010101010101039e+02 4.369673567011204432e+05
1.126262626262626299e+02 3.704730135113613796e+05
1.151515151515151558e+02 3.143782406041358481e+05
1.176767676767676676e+02 2.670247877212382737e+05
1.202020202020202078e+02 2.269977597368755087e+05
1.227272727272727195e+02 1.931171695750965446e+05
1.252525252525252597e+02 1.644115585669908905e+05
1.277777777777777715e+02 1.400971102224297065e+05
1.303030303030303116e+02 1.194479452593352617e+05
1.328282828282828234e+02 1.019068050922380062e+05
1.353535353535353352e+02 8.701414079855849559e+04
1.378787878787878753e+02 7.433191422659438103e+04
1.404040404040404155e+02 6.354049459934943297e+04
1.429292929292929273e+02 5.435315603366409778e+04
1.454545454545454390e+02 4.651689133637363557e+04
1.479797979797979792e+02 3.983295961938917026e+04
1.505050505050505194e+02 3.413028058485675865e+04
1.530303030303030312e+02 2.925414313581679016e+04
1.555555555555555429e+02 2.509129311963835062e+04
1.580808080808080831e+02 2.152837151555464152e+04
1.606060606060605949e+02 1.848213898385926950e+04
1.631313131313131350e+02 1.587474942228465443e+04
1.656565656565656468e+02 1.364022049093969872e+04
1.681818181818181870e+02 1.172503490942656754e+04
1.707070707070706987e+02 1.008288994478498535e+04
1.732323232323232105e+02 8.674725570147886174e+03
1.757575757575757507e+02 7.465591127759213123e+03
1.782828282828282909e+02 6.428349264212615708e+03
1.808080808080808026e+02 5.537068241187622334e+03
1.833333333333333144e+02 4.771053541781389868e+03
1.858585858585858546e+02 4.112491474985521563e+03
1.883838383838383947e+02 3.545768800828347139e+03
1.909090909090909065e+02 3.058223090684843100e+03
1.934343434343434183e+02 2.638724009237372684e+03
1.959595959595959584e+02 2.277293205546591707e+03
1.984848484848484986e+02 1.966061498529058554e+03
2.010101010101010104e+02 1.697817281454647173e+03
2.035353535353535221e+02 1.466686468394314034e+03
2.060606060606060623e+02 1.267390570003286030e+03
2.085858585858585741e+02 1.095448217831161855e+03
2.111111111111110858e+02 9.471061830134377715e+02
2.136363636363636260e+02 8.190791385392792563e+02
2.161616161616161662e+02 7.085539852527587072e+02
2.186868686868686780e+02 6.130881554437288514e+02
2.212121212121211897e+02 5.306368295552539394e+02
2.237373737373737299e+02 4.593598838126603709e+02
2.262626262626262701e+02 3.977618996951519534e+02
2.287878787878787818e+02 3.445037377824392593e+02
2.313131313131312936e+02 2.984434426270384506e+02
2.338383838383838338e+02 2.586046959243872720e+02
2.363636363636363455e+02 2.241314323247395350e+02
2.388888888888888857e+02 1.942909835598410382e+02
2.414141414141413975e+02 1.684600557321607255e+02
2.439393939393939377e+02 1.460983048949284466e+02
2.464646464646464494e+02 1.267305607664485763e+02
2.489898989898989896e+02 1.099477038142953091e+02
2.515151515151515014e+02 9.541032228721297770e+01
2.540404040404040416e+02 8.281008506349208176e+01
2.565656565656565817e+02 7.188514715707522384e+01
2.590909090909091219e+02 6.241510927893866523e+01
2.616161616161616053e+02 5.420232339541479405e+01
2.641414141414140886e+02 4.707961958166013261e+01
2.666666666666666288e+02 4.089785552334355856e+01
2.691919191919191690e+02 3.553445025900129650e+01
2.717171717171717091e+02 3.088121655580951597e+01
2.742424242424242493e+02 2.683991697752146877e+01
2.767676767676767895e+02 2.333164976701490900e+01
2.792929292929292728e+02 2.028585140291029631e+01
2.818181818181818130e+02 1.764043790969073910e+01
2.843434343434342964e+02 1.534246984468634167e+01
2.868686868686868365e+02 1.334550217663122496e+01
2.893939393939393767e+02 1.161008897688557440e+01
2.919191919191919169e+02 1.010163148171538516e+01
2.944444444444444571e+02 8.790726723872335668e+00
2.969696969696969973e+02 7.650799430439887416e+00
2.994949494949494806e+02 6.659689339092323301e+00
3.020202020202020208e+02 5.797661123437396036e+00
3.045454545454545041e+02 5.047888337213955801e+00
3.070707070707070443e+02 4.395755035996098847e+00
3.095959595959595845e+02 3.828289294365454509e+00
3.121212121212121247e+02 3.334620160800890076e+00
3.146464646464646648e+02 2.904979919300212376e+00
3.171717171717171482e+02 2.530947899714945493e+00
3.196969696969696884e+02 2.205325364660040588e+00
3.222222222222221717e+02 1.921826831408843583e+00
3.247474747474747119e+02 1.674961748953087248e+00
3.272727272727272521e+02 1.460010594981153265e+00
3.297979797979797922e+02 1.272770066400738864e+00
3.323232323232323324e+02 1.109666410057664532e+00
3.348484848484848726e+02 9.675772835946209183e-01
3.373737373737373559e+02 8.438008007293477108e-01
3.398989898989898961e+02 7.359233003295424513e-01
3.424242424242423795e+02 6.418928266772717661e-01
3.449494949494949196e+02 5.599449784388239593e-01
3.474747474747474598e+02 4.885023594686556669e-01
3.500000000000000000e+02 4.262272979483813229e-01
