# #for lambda=350.0nm
# #Distance	rate
1.000000000000000000e+02 7.639926911993356422e+06
1.025252525252525260e+02 6.432397296071100980e+06
1.050505050505050519e+02 5.422300956098795868e+06
1.075757575757575779e+02 4.576109773184201680e+06
1.101010101010101039e+02 3.866232842394312844e+06
1.126262626262626299e+02 3.269916170235321391e+06
1.151515151515151558e+02 2.768356415440706536e+06
1.176767676767676676e+02 2.345984871886091772e+06
1.202020202020202078e+02 1.989887332340381574e+06
1.227272727272727195e+02 1.689332768727774266e+06
1.252525252525252597e+02 1.435389430617043050e+06
1.277777777777777715e+02 1.220611382213881006e+06
1.303030303030303116e+02 1.038781957945037284e+06
1.328282828282828234e+02 8.847033363496356178e+05
1.353535353535353352e+02 7.540235776958346833e+05
1.378787878787878753e+02 6.430941696016599890e+05
1.404040404040404155e+02 5.488524745304662501e+05
1.429292929292929273e+02 4.687245485964562395e+05
1.454545454545454390e+02 4.005446609156146296e+05
1.479797979797979792e+02 3.424885320646065520e+05
1.505050505050505194e+02 2.930178644078448997e+05
1.530303030303030312e+02 2.508341838008691557e+05
1.555555555555555429e+02 2.148403732297037204e+05
1.580808080808080831e+02 1.841085714537255408e+05
1.606060606060605949e+02 1.578533472521344956e+05
1.631313131313131350e+02 1.354092531973362784e+05
1.656565656565656468e+02 1.162120205598474131e+05
1.681818181818181870e+02 9.978278582589126017e+04
1.707070707070706987e+02 8.571484485191424028e+04
1.732323232323232105e+02 7.366251727928699984e+04
1.757575757575757507e+02 6.333177501810258400e+04
1.782828282828282909e+02 5.447234722773454996e+04
1.808080808080808026e+02 4.687106257409721729e+04
1.833333333333333144e+02 4.034622949251228420e+04
1.858585858585858546e+02 3.474288824305956950e+04
1.883838383838383947e+02 2.992879594233863463e+04
1.909090909090909065e+02 2.579102849421641076e+04
1.934343434343434183e+02 2.223310224100742562e+04
1.959595959595959584e+02 1.917253388533989710e+04
1.984848484848484986e+02 1.653877034058137724e+04
2.010101010101010104e+02 1.427143110475049070e+04
2.035353535353535221e+02 1.231881488989511490e+04
2.060606060606060623e+02 1.063662988121301169e+04
2.085858585858585741e+02 9.186913399536195357e+03
2.111111111111110858e+02 7.937112105254222115e+03
2.136363636363636260e+02 6.859298383462085440e+03
2.161616161616161662e+02 5.929502331728172067e+03
2.186868686868686780e+02 5.127141951744285507e+03
2.212121212121211897e+02 4.434536822574772486e+03
2.237373737373737299e+02 3.836492788067270794e+03
2.262626262626262701e+02 3.319947092358884220e+03
2.287878787878787818e+02 2.873665002126888794e+03
2.313131313131312936e+02 2.487980309729858163e+03
2.338383838383838338e+02 2.154573257312837086e+03
2.363636363636363455e+02 1.866280391484990105e+03
2.388888888888888857e+02 1.616931679109605057e+03
2.414141414141413975e+02 1.401210910375424419e+03
2.439393939393939377e+02 1.214536005201658782e+03
2.464646464646464494e+02 1.052956339597712713e+03
2.489898989898989896e+02 9.130646336689108011e+02
2.515151515151515014e+02 7.919213041610602204e+02
2.540404040404040416e+02 6.869894915660360084e+02
2.565656565656565817e+02 5.960792331285398404e+02
2.590909090909091219e+02 5.172994755707784407e+02
2.616161616161616053e+02 4.490168108744094866e+02
2.641414141414140886e+02 3.898199800029830158e+02
2.666666666666666288e+02 3.384893272223296208e+02
2.691919191919191690e+02 2.939705052431737045e+02
2.717171717171717091e+02 2.553518317879040467e+02
2.742424242424242493e+02 2.218447839299308839e+02
2.767676767676767895e+02 1.927671898396893084e+02
2.792929292929292728e+02 1.675287402381461845e+02
2.818181818181818130e+02 1.456184954713741888e+02
2.843434343434342964e+02 1.265941100082438453e+02
2.868686868686868365e+02 1.100725354586070637e+02
2.893939393939393767e+02 9.572199687398089907e+01
2.919191919191919169e+02 8.325506594622113710e+01
2.944444444444444571e+02 7.242267946022143121e+01
2.969696969696969973e+02 6.300897257947056573e+01
2.994949494949494806e+02 5.482681475597685505e+01
3.020202020202020208e+02 4.771395169182782325e+01
3.045454545454545041e+02 4.152967020834515210e+01
3.070707070707070443e+02 3.615191441636991243e+01
3.095959595959595845e+02 3.147479149769060314e+01
3.121212121212121247e+02 2.740641393388952451e+01
3.146464646464646648e+02 2.386703235244598176e+01
3.171717171717171482e+02 2.078741946984070665e+01
3.196969696969696884e+02 1.810747104239221628e+01
3.222222222222221717e+02 1.577499441161361915e+01
3.247474747474747119e+02 1.374465925825341905e+01
3.272727272727272521e+02 1.197708864898422831e+01
3.297979797979797922e+02 1.043807145004423731e+01
3.323232323232323324e+02 9.097879760072578037e+00
3.348484848484848726e+02 7.930677237442716354e+00
3.373737373737373559e+02 6.914006115008982434e+00
3.398989898989898961e+02 6.028342349781267373e+00
3.424242424242423795e+02 5.256709783110258272e+00
3.449494949494949196e+02 4.584345419852447812e+00
3.474747474747474598e+02 3.998408999658789043e+00
3.500000000000000000e+02 3.487730953182518245e+00
