# #for lambda=400.0nm
# #Distance	rate
1.000000000000000000e+02 1.151601385464707315e+08
1.025252525252525260e+02 1.032195530810141265e+08
1.050505050505050519e+02 9.262940431396093965e+07
1.075757575757575779e+02 8.322193802298249304e+07
1.101010101010101039e+02 7.485236657130123675e+07
1.126262626262626299e+02 6.739540505633725226e+07
1.151515151515151558e+02 6.074238090663247555e+07
1.176767676767676676e+02 5.479881330882979929e+07
1.202020202020202078e+02 4.948237914705842733e+07
1.227272727272727195e+02 4.472119815433172882e+07
1.252525252525252597e+02 4.045238267660301924e+07
1.277777777777777715e+02 3.662080756976207346e+07
1.303030303030303116e+02 3.317806384963062778e+07
1.328282828282828234e+02 3.008156622649232298e+07
1.353535353535353352e+02 2.729378991225939617e+07
1.378787878787878753e+02 2.478161634895239398e+07
1.404040404040404155e+02 2.251577097377056628e+07
1.429292929292929273e+02 2.047033896706147492e+07
1.454545454545454390e+02 1.862234724970335886e+07
1.479797979797979792e+02 1.695140290446244180e+07
1.505050505050505194e+02 1.543937977015222982e+07
1.530303030303030312e+02 1.407014626040518098e+07
1.555555555555555429e+02 1.282932854060060531e+07
1.580808080808080831e+02 1.170410409718515351e+07
1.606060606060605949e+02 1.068302148569484241e+07
1.631313131313131350e+02 9.755842673480791971e+06
1.656565656565656468e+02 8.913404921758681536e+06
1.681818181818181870e+02 8.147499596497833729e+06
1.707070707070706987e+02 7.450765673023198731e+06
1.732323232323232105e+02 6.816596016642406583e+06
1.757575757575757507e+02 6.239054790687498637e+06
1.782828282828282909e+02 5.712804571950549260e+06
1.808080808080808026e+02 5.233041948106246069e+06
1.833333333333333144e+02 4.795440537747417577e+06
1.858585858585858546e+02 4.396100515595565550e+06
1.883838383838383947e+02 4.031503847022586968e+06
1.909090909090909065e+02 3.698474540350804571e+06
1.934343434343434183e+02 3.394143315096972976e+06
1.959595959595959584e+02 3.115916161581801716e+06
1.984848484848484986e+02 2.861446333981346339e+06
2.010101010101010104e+02 2.628609376501790714e+06
2.035353535353535221e+02 2.415480832224611659e+06
2.060606060606060623e+02 2.220316327403634787e+06
2.085858585858585741e+02 2.041533761538180057e+06
2.111111111111110858e+02 1.877697366196078481e+06
2.136363636363636260e+02 1.727503423995640595e+06
2.161616161616161662e+02 1.589767463955833577e+06
2.186868686868686780e+02 1.463412771083580563e+06
2.212121212121211897e+02 1.347460067009243183e+06
2.237373737373737299e+02 1.241018235068612732e+06
2.262626262626262701e+02 1.143275977773334365e+06
2.287878787878787818e+02 1.053494307379200356e+06
2.313131313131312936e+02 9.709997814835972385e+05
2.338383838383838338e+02 8.951784054582951358e+05
2.363636363636363455e+02 8.254701322232981911e+05
2.388888888888888857e+02 7.613638975401556818e+05
2.414141414141413975e+02 7.023931357774679782e+05
2.439393939393939377e+02 6.481317270888513885e+05
2.464646464646464494e+02 5.981903322412275011e+05
2.489898989898989896e+02 5.522130760231667664e+05
2.515151515151515014e+02 5.098745443225243362e+05
2.540404040404040416e+02 4.708770636536771781e+05
2.565656565656565817e+02 4.349482351931505837e+05
2.590909090909091219e+02 4.018386982970825047e+05
2.616161616161616053e+02 3.713201010674856370e+05
2.641414141414140886e+02 3.431832578440809157e+05
2.666666666666666288e+02 3.172364755573097500e+05
2.691919191919191690e+02 2.933040327148318756e+05
2.717171717171717091e+02 2.712247964336611913e+05
2.742424242424242493e+02 2.508509643953499908e+05
2.767676767676767895e+02 2.320469199119034747e+05
2.792929292929292728e+02 2.146881894626705034e+05
2.818181818181818130e+02 1.986604931125701987e+05
2.843434343434342964e+02 1.838588791631582717e+05
2.868686868686868365e+02 1.701869352320753096e+05
2.893939393939393767e+02 1.575560687139623333e+05
2.919191919191919169e+02 1.458848502562314388e+05
2.944444444444444571e+02 1.350984144944794825e+05
2.969696969696969973e+02 1.251279128421325004e+05
2.994949494949494806e+02 1.159100136236378166e+05
3.020202020202020208e+02 1.073864452859798184e+05
3.045454545454545041e+02 9.950357882462556881e+04
3.070707070707070443e+02 9.221204592179499741e+04
3.095959595959595845e+02 8.546638962129788706e+04
3.121212121212121247e+02 7.922474465870345011e+04
3.146464646464646648e+02 7.344854483158134099e+04
3.171717171717171482e+02 6.810225503486377420e+04
3.196969696969696884e+02 6.315312580361861183e+04
3.222222222222221717e+02 5.857096840202211752e+04
3.247474747474747119e+02 5.432794867513208737e+04
3.272727272727272521e+02 5.039839804106617521e+04
3.297979797979797922e+02 4.675864014702832355e+04
3.323232323232323324e+02 4.338683184480493219e+04
3.348484848484848726e+02 4.026281726120176609e+04
3.373737373737373559e+02 3.736799384761328110e+04
3.398989898989898961e+02 3.468518939158925059e+04
3.424242424242423795e+02 3.219854906285793550e+04
3.449494949494949196e+02 2.989343164764656831e+04
3.474747474747474598e+02 2.775631419910326440e+04
3.500000000000000000e+02 2.577470439886210443e+04
