# #for lambda=500.0nm
# #Distance	rate
1.000000000000000000e+02 4.733438048410351621e+05
1.025252525252525260e+02 4.249372868844609475e+05
1.050505050505050519e+02 3.818300092217138736e+05
1.075757575757575779e+02 3.434682539021548582e+05
1.101010101010101039e+02 3.091850743864087854e+05
1.126262626262626299e+02 2.785605186849936727e+05
1.151515151515151558e+02 2.511625674006467452e+05
1.176767676767676676e+02 2.266586553134824208e+05
1.202020202020202078e+02 2.046939187022727856e+05
1.227272727272727195e+02 1.850005408608040016e+05
1.252525252525252597e+02 1.673032121431740816e+05
1.277777777777777715e+02 1.514132260997900448e+05
1.303030303030303116e+02 1.371166244143604708e+05
1.328282828282828234e+02 1.242305923846070800e+05
1.353535353535353352e+02 1.126496472497864888e+05
1.378787878787878753e+02 1.021868198707267729e+05
1.404040404040404155e+02 9.275516291748113872e+04
1.429292929292929273e+02 8.424453866915454273e+04
1.454545454545454390e+02 7.654944447308007511e+04
1.479797979797979792e+02 6.959241296379773121e+04
1.505050505050505194e+02 6.330620936145843734e+04
1.530303030303030312e+02 5.760417368831080239e+04
1.555555555555555429e+02 5.244690313412935939e+04
1.580808080808080831e+02 4.776690804398243927e+04
1.606060606060605949e+02 4.352841984051988402e+04
1.631313131313131350e+02 3.968402127213750646e+04
1.656565656565656468e+02 3.618911413006472139e+04
1.681818181818181870e+02 3.301688003915860463e+04
1.707070707070706987e+02 3.013308516798024357e+04
1.732323232323232105e+02 2.751312950083168835e+04
1.757575757575757507e+02 2.512810690071025965e+04
1.782828282828282909e+02 2.296079994075288414e+04
1.808080808080808026e+02 2.098660723889756991e+04
1.833333333333333144e+02 1.918875182266655975e+04
1.858585858585858546e+02 1.755063114427667824e+04
1.883838383838383947e+02 1.605650780801519977e+04
1.909090909090909065e+02 1.469463388360612589e+04
1.934343434343434183e+02 1.345291508141607846e+04
1.959595959595959584e+02 1.231875420219407533e+04
1.984848484848484986e+02 1.128441757043979487e+04
2.010101010101010104e+02 1.033900171603389026e+04
2.035353535353535221e+02 9.475818118002529445e+03
2.060606060606060623e+02 8.687563034872966455e+03
2.085858585858585741e+02 7.966464709751923692e+03
2.111111111111110858e+02 7.307014396470860447e+03
2.136363636363636260e+02 6.703848453727801825e+03
2.161616161616161662e+02 6.152101702983861287e+03
2.186868686868686780e+02 5.646944761786887284e+03
2.212121212121211897e+02 5.184673079776583108e+03
2.237373737373737299e+02 4.761165701618512685e+03
2.262626262626262701e+02 4.373453941880408820e+03
2.287878787878787818e+02 4.018027105265127830e+03
2.313131313131312936e+02 3.692330129328547173e+03
2.338383838383838338e+02 3.393720056502931129e+03
2.363636363636363455e+02 3.119938333372001125e+03
2.388888888888888857e+02 2.868742837752891774e+03
2.414141414141413975e+02 2.638286710602508720e+03
2.439393939393939377e+02 2.426989071416309798e+03
2.464646464646464494e+02 2.232991754383122498e+03
2.489898989898989896e+02 2.054770518980139968e+03
2.515151515151515014e+02 1.891178558969907954e+03
2.540404040404040416e+02 1.740964355155907242e+03
2.565656565656565817e+02 1.602875597625602495e+03
2.590909090909091219e+02 1.476078337560433738e+03
2.616161616161616053e+02 1.359555814293395542e+03
2.641414141414140886e+02 1.252425776985379116e+03
2.666666666666666288e+02 1.153860757624132475e+03
2.691919191919191690e+02 1.063246519842937005e+03
2.717171717171717091e+02 9.799786293049164669e+02
2.742424242424242493e+02 9.032858570997334482e+02
2.767676767676767895e+02 8.327427644471704298e+02
2.792929292929292728e+02 7.678556129551121785e+02
2.818181818181818130e+02 7.081171633243776569e+02
2.843434343434342964e+02 6.531246409552304613e+02
2.868686868686868365e+02 6.024786370500203248e+02
2.893939393939393767e+02 5.558500615527506170e+02
2.919191919191919169e+02 5.128765391135563050e+02
2.944444444444444571e+02 4.733125290044828262e+02
2.969696969696969973e+02 4.368436946979786626e+02
2.994949494949494806e+02 4.032406848678634219e+02
3.020202020202020208e+02 3.722651745085736366e+02
3.045454545454545041e+02 3.437058745193822347e+02
3.070707070707070443e+02 3.173910294563664820e+02
3.095959595959595845e+02 2.931197258016485421e+02
3.121212121212121247e+02 2.707490584664579956e+02
3.146464646464646648e+02 2.501204042328758987e+02
3.171717171717171482e+02 2.310779053657020654e+02
3.196969696969696884e+02 2.135100901985593396e+02
3.222222222222221717e+02 1.972984291355586777e+02
3.247474747474747119e+02 1.823351695197501670e+02
3.272727272727272521e+02 1.685336556456572907e+02
3.297979797979797922e+02 1.557909130226905745e+02
3.323232323232323324e+02 1.440247474076666094e+02
3.348484848484848726e+02 1.331651344041536902e+02
3.373737373737373559e+02 1.231399687616070224e+02
3.398989898989898961e+02 1.138783144881140288e+02
3.424242424242423795e+02 1.053204948122965163e+02
3.449494949494949196e+02 9.741756476821051081e+01
3.474747474747474598e+02 9.011569189452946205e+01
3.500000000000000000e+02 8.337088921072584924e+01
