#cosalfa	Acceptance
-1.000000000000000000e+00 0.000000000000000000e+00
-9.992499999999999716e-01 0.000000000000000000e+00
-9.985000000000000542e-01 0.000000000000000000e+00
-9.977500000000000258e-01 0.000000000000000000e+00
-9.969999999999999973e-01 0.000000000000000000e+00
-9.962499999999999689e-01 0.000000000000000000e+00
-9.955000000000000515e-01 0.000000000000000000e+00
-9.947500000000000231e-01 0.000000000000000000e+00
-9.939999999999999947e-01 0.000000000000000000e+00
-9.932499999999999662e-01 0.000000000000000000e+00
-9.925000000000000488e-01 0.000000000000000000e+00
-9.917500000000000204e-01 0.000000000000000000e+00
-9.909999999999999920e-01 0.000000000000000000e+00
-9.902499999999999636e-01 0.000000000000000000e+00
-9.895000000000000462e-01 0.000000000000000000e+00
-9.887500000000000178e-01 0.000000000000000000e+00
-9.879999999999999893e-01 0.000000000000000000e+00
-9.872499999999999609e-01 0.000000000000000000e+00
-9.865000000000000435e-01 0.000000000000000000e+00
-9.857500000000000151e-01 0.000000000000000000e+00
-9.849999999999999867e-01 0.000000000000000000e+00
-9.842499999999999583e-01 0.000000000000000000e+00
-9.835000000000000409e-01 0.000000000000000000e+00
-9.827500000000000124e-01 0.000000000000000000e+00
-9.819999999999999840e-01 0.000000000000000000e+00
-9.812499999999999556e-01 0.000000000000000000e+00
-9.805000000000000382e-01 0.000000000000000000e+00
-9.797500000000000098e-01 0.000000000000000000e+00
-9.789999999999999813e-01 0.000000000000000000e+00
-9.782499999999999529e-01 0.000000000000000000e+00
-9.775000000000000355e-01 0.000000000000000000e+00
-9.767500000000000071e-01 0.000000000000000000e+00
-9.759999999999999787e-01 0.000000000000000000e+00
-9.752499999999999503e-01 0.000000000000000000e+00
-9.745000000000000329e-01 0.000000000000000000e+00
-9.737500000000000044e-01 0.000000000000000000e+00
-9.729999999999999760e-01 0.000000000000000000e+00
-9.722499999999999476e-01 0.000000000000000000e+00
-9.715000000000000302e-01 0.000000000000000000e+00
-9.707500000000000018e-01 0.000000000000000000e+00
-9.699999999999999734e-01 0.000000000000000000e+00
-9.692499999999999449e-01 0.000000000000000000e+00
-9.685000000000000275e-01 0.000000000000000000e+00
-9.677499999999999991e-01 0.000000000000000000e+00
-9.669999999999999707e-01 0.000000000000000000e+00
-9.662500000000000533e-01 0.000000000000000000e+00
-9.655000000000000249e-01 0.000000000000000000e+00
-9.647499999999999964e-01 0.000000000000000000e+00
-9.639999999999999680e-01 0.000000000000000000e+00
-9.632500000000000506e-01 0.000000000000000000e+00
-9.625000000000000222e-01 0.000000000000000000e+00
-9.617499999999999938e-01 0.000000000000000000e+00
-9.609999999999999654e-01 0.000000000000000000e+00
-9.602500000000000480e-01 0.000000000000000000e+00
-9.595000000000000195e-01 0.000000000000000000e+00
-9.587499999999999911e-01 0.000000000000000000e+00
-9.579999999999999627e-01 0.000000000000000000e+00
-9.572500000000000453e-01 0.000000000000000000e+00
-9.565000000000000169e-01 0.000000000000000000e+00
-9.557499999999999885e-01 0.000000000000000000e+00
-9.549999999999999600e-01 0.000000000000000000e+00
-9.542500000000000426e-01 0.000000000000000000e+00
-9.535000000000000142e-01 0.000000000000000000e+00
-9.527499999999999858e-01 0.000000000000000000e+00
-9.519999999999999574e-01 0.000000000000000000e+00
-9.512500000000000400e-01 0.000000000000000000e+00
-9.505000000000000115e-01 0.000000000000000000e+00
-9.497499999999999831e-01 0.000000000000000000e+00
-9.489999999999999547e-01 0.000000000000000000e+00
-9.482500000000000373e-01 0.000000000000000000e+00
-9.475000000000000089e-01 0.000000000000000000e+00
-9.467499999999999805e-01 0.000000000000000000e+00
-9.459999999999999520e-01 0.000000000000000000e+00
-9.452500000000000346e-01 0.000000000000000000e+00
-9.445000000000000062e-01 0.000000000000000000e+00
-9.437499999999999778e-01 0.000000000000000000e+00
-9.429999999999999494e-01 0.000000000000000000e+00
-9.422500000000000320e-01 0.000000000000000000e+00
-9.415000000000000036e-01 0.000000000000000000e+00
-9.407499999999999751e-01 0.000000000000000000e+00
-9.399999999999999467e-01 0.000000000000000000e+00
-9.392500000000000293e-01 0.000000000000000000e+00
-9.385000000000000009e-01 0.000000000000000000e+00
-9.377499999999999725e-01 0.000000000000000000e+00
-9.370000000000000551e-01 0.000000000000000000e+00
-9.362500000000000266e-01 0.000000000000000000e+00
-9.354999999999999982e-01 0.000000000000000000e+00
-9.347499999999999698e-01 0.000000000000000000e+00
-9.339999999999999414e-01 0.000000000000000000e+00
-9.332500000000000240e-01 0.000000000000000000e+00
-9.324999999999999956e-01 0.000000000000000000e+00
-9.317499999999999671e-01 0.000000000000000000e+00
-9.310000000000000497e-01 0.000000000000000000e+00
-9.302500000000000213e-01 0.000000000000000000e+00
-9.294999999999999929e-01 0.000000000000000000e+00
-9.287499999999999645e-01 0.000000000000000000e+00
-9.279999999999999361e-01 0.000000000000000000e+00
-9.272500000000000187e-01 0.000000000000000000e+00
-9.264999999999999902e-01 0.000000000000000000e+00
-9.257499999999999618e-01 0.000000000000000000e+00
-9.250000000000000444e-01 0.000000000000000000e+00
-9.242500000000000160e-01 0.000000000000000000e+00
-9.234999999999999876e-01 0.000000000000000000e+00
-9.227499999999999591e-01 0.000000000000000000e+00
-9.220000000000000417e-01 0.000000000000000000e+00
-9.212500000000000133e-01 0.000000000000000000e+00
-9.204999999999999849e-01 0.000000000000000000e+00
-9.197499999999999565e-01 0.000000000000000000e+00
-9.190000000000000391e-01 0.000000000000000000e+00
