# #lambda	lambda_abs
3.093500000000000227e+02 1.151325000000001353e+01
3.097799999999999727e+02 1.176909999999998391e+01
3.102099999999999795e+02 1.194724999999999504e+01
3.106399999999999864e+02 1.204399999999999693e+01
3.110699999999999932e+02 1.214074999999999882e+01
3.115000000000000000e+02 1.223750000000000071e+01
3.119300000000000068e+02 1.233425000000000082e+01
3.123600000000000136e+02 1.243100000000000271e+01
3.127900000000000205e+02 1.252775000000000460e+01
3.132200000000000273e+02 1.262450000000000649e+01
3.136499999999999773e+02 1.272124999999999417e+01
3.140799999999999841e+02 1.281799999999999606e+01
3.145099999999999909e+02 1.291474999999999795e+01
3.149399999999999977e+02 1.301149999999999984e+01
3.153700000000000045e+02 1.310825000000000173e+01
3.158000000000000114e+02 1.320500000000000185e+01
3.162300000000000182e+02 1.330175000000000374e+01
3.166600000000000250e+02 1.339850000000000563e+01
3.170899999999999750e+02 1.349524999999999508e+01
3.175199999999999818e+02 1.359199999999999520e+01
3.179499999999999886e+02 1.368874999999999709e+01
3.183799999999999955e+02 1.378549999999999898e+01
3.188100000000000023e+02 1.388225000000000087e+01
3.192400000000000091e+02 1.397900000000000276e+01
3.196700000000000159e+02 1.407575000000000287e+01
3.201000000000000227e+02 1.417250000000000476e+01
3.205299999999999727e+02 1.426924999999999244e+01
3.209599999999999795e+02 1.436599999999999433e+01
3.213899999999999864e+02 1.446274999999999622e+01
3.218199999999999932e+02 1.455949999999999811e+01
3.222500000000000000e+02 1.465625000000000000e+01
3.226800000000000068e+02 1.475300000000000011e+01
3.231100000000000136e+02 1.484975000000000200e+01
3.235400000000000205e+02 1.494650000000000389e+01
3.239700000000000273e+02 1.504325000000000578e+01
3.243999999999999773e+02 1.513999999999999346e+01
3.248299999999999841e+02 1.523674999999999535e+01
3.252599999999999909e+02 1.533349999999999724e+01
3.256899999999999977e+02 1.543024999999999913e+01
3.261200000000000045e+02 1.552700000000000102e+01
3.265500000000000114e+02 1.562375000000000114e+01
3.269800000000000182e+02 1.572050000000000303e+01
3.274099999999999682e+02 1.581724999999999248e+01
3.278399999999999750e+02 1.591399999999999437e+01
3.282699999999999818e+02 1.601074999999999449e+01
3.286999999999999886e+02 1.610749999999999460e+01
3.291299999999999955e+02 1.620424999999999827e+01
3.295600000000000023e+02 1.630099999999999838e+01
3.299900000000000091e+02 1.639775000000000205e+01
3.304200000000000159e+02 1.648820000000000263e+01
3.308500000000000227e+02 1.657850000000000179e+01
3.312799999999999727e+02 1.666879999999999384e+01
3.317099999999999795e+02 1.675909999999999300e+01
3.321399999999999864e+02 1.684939999999999571e+01
3.325699999999999932e+02 1.693969999999999843e+01
3.330000000000000000e+02 1.702999999999999758e+01
3.334300000000000068e+02 1.712030000000000030e+01
3.338600000000000136e+02 1.721060000000000301e+01
3.342900000000000205e+02 1.730090000000000217e+01
3.347200000000000273e+02 1.739120000000000488e+01
3.351499999999999773e+02 1.748149999999999338e+01
3.355799999999999841e+02 1.757179999999999609e+01
3.360099999999999909e+02 1.766209999999999880e+01
3.364399999999999977e+02 1.775239999999999796e+01
3.368700000000000045e+02 1.784270000000000067e+01
3.373000000000000114e+02 1.793300000000000338e+01
3.377300000000000182e+02 1.802330000000000254e+01
3.381599999999999682e+02 1.811359999999999459e+01
3.385899999999999750e+02 1.820389999999999375e+01
3.390199999999999818e+02 1.829419999999999646e+01
3.394499999999999886e+02 1.838449999999999562e+01
3.398799999999999955e+02 1.847479999999999833e+01
3.403100000000000023e+02 1.856510000000000105e+01
3.407400000000000091e+02 1.865540000000000020e+01
3.411700000000000159e+02 1.874570000000000292e+01
3.416000000000000227e+02 1.883600000000000563e+01
3.420299999999999727e+02 1.892629999999999413e+01
3.424599999999999795e+02 1.901659999999999684e+01
3.428899999999999864e+02 1.910689999999999600e+01
3.433199999999999932e+02 1.919719999999999871e+01
3.437500000000000000e+02 1.928750000000000142e+01
3.441800000000000068e+02 1.937780000000000058e+01
3.446100000000000136e+02 1.946810000000000329e+01
3.450400000000000205e+02 1.955840000000000600e+01
3.454700000000000273e+02 1.964870000000000516e+01
3.458999999999999773e+02 1.973899999999999721e+01
3.463299999999999841e+02 1.982929999999999637e+01
3.467599999999999909e+02 1.991959999999999908e+01
3.471899999999999977e+02 2.000990000000000180e+01
3.476200000000000045e+02 2.010020000000000095e+01
3.480500000000000114e+02 2.019050000000000367e+01
3.484800000000000182e+02 2.028080000000000638e+01
3.489099999999999682e+02 2.037109999999999488e+01
3.493399999999999750e+02 2.046139999999999759e+01
3.497699999999999818e+02 2.055169999999999675e+01
3.501999999999999886e+02 2.067119999999999891e+01
3.506299999999999955e+02 2.082427999999999813e+01
3.510600000000000023e+02 2.097736000000000089e+01
3.514900000000000091e+02 2.113044000000000366e+01
3.519200000000000159e+02 2.128352000000000643e+01
3.523500000000000227e+02 2.143660000000000920e+01
3.527799999999999727e+02 2.158967999999999066e+01
3.532099999999999795e+02 2.174275999999999343e+01
3.536399999999999864e+02 2.189583999999999619e+01
3.540699999999999932e+02 2.204891999999999896e+01
3.545000000000000000e+02 2.220200000000000173e+01
3.549300000000000068e+02 2.235508000000000450e+01
3.553600000000000136e+02 2.250816000000000727e+01
3.557899999999999636e+02 2.266123999999998873e+01
3.562200000000000273e+02 2.281432000000000926e+01
3.566499999999999773e+02 2.296739999999999426e+01
3.570799999999999841e+02 2.312047999999999348e+01
3.575099999999999909e+02 2.327355999999999625e+01
3.579399999999999977e+02 2.342663999999999902e+01
3.583700000000000045e+02 2.357972000000000179e+01
3.588000000000000114e+02 2.373280000000000456e+01
3.592300000000000182e+02 2.388588000000000733e+01
3.596599999999999682e+02 2.403895999999998878e+01
3.600900000000000318e+02 2.419204000000001287e+01
3.605199999999999818e+02 2.434511999999999432e+01
3.609499999999999886e+02 2.449819999999999709e+01
3.613799999999999955e+02 2.465127999999999986e+01
3.618100000000000023e+02 2.480436000000000263e+01
3.622400000000000091e+02 2.495744000000000540e+01
3.626700000000000159e+02 2.511052000000000817e+01
3.631000000000000227e+02 2.526360000000000738e+01
3.635299999999999727e+02 2.541667999999999239e+01
3.639599999999999795e+02 2.556975999999999516e+01
3.643899999999999864e+02 2.572283999999999438e+01
3.648199999999999932e+02 2.587591999999999715e+01
3.652500000000000000e+02 2.602899999999999991e+01
3.656800000000000068e+02 2.618208000000000268e+01
3.661100000000000136e+02 2.633516000000000545e+01
3.665399999999999636e+02 2.648823999999998691e+01
3.669700000000000273e+02 2.664132000000001099e+01
3.673999999999999773e+02 2.679439999999999245e+01
3.678299999999999841e+02 2.694747999999999521e+01
3.682599999999999909e+02 2.710055999999999798e+01
3.686899999999999977e+02 2.725363999999999720e+01
3.691200000000000045e+02 2.740671999999999997e+01
3.695500000000000114e+02 2.755980000000000274e+01
3.699800000000000182e+02 2.771288000000000551e+01
3.704099999999999682e+02 2.786595999999998696e+01
3.708400000000000318e+02 2.801904000000001105e+01
3.712699999999999818e+02 2.817211999999999250e+01
3.716999999999999886e+02 2.832519999999999527e+01
3.721299999999999955e+02 2.847827999999999804e+01
3.725600000000000023e+02 2.863136000000000081e+01
3.729900000000000091e+02 2.878444000000000358e+01
3.734200000000000159e+02 2.893752000000000635e+01
3.738500000000000227e+02 2.909060000000000912e+01
3.742799999999999727e+02 2.924367999999999057e+01
3.747099999999999795e+02 2.939675999999999334e+01
3.751399999999999864e+02 2.957189189189188383e+01
3.755699999999999932e+02 2.979270270270269805e+01
3.760000000000000000e+02 3.001351351351351227e+01
3.764300000000000068e+02 3.023432432432432648e+01
3.768600000000000136e+02 3.045513513513514070e+01
3.772899999999999636e+02 3.067594594594592650e+01
3.777200000000000273e+02 3.089675675675676914e+01
3.781499999999999773e+02 3.111756756756755493e+01
3.785799999999999841e+02 3.133837837837836915e+01
3.790099999999999909e+02 3.155918918918918337e+01
3.794399999999999977e+02 3.177999999999999758e+01
3.798700000000000045e+02 3.200081081081081180e+01
3.803000000000000114e+02 3.222162162162162957e+01
3.807300000000000182e+02 3.244243243243244024e+01
3.811599999999999682e+02 3.266324324324322959e+01
3.815900000000000318e+02 3.288405405405406867e+01
3.820199999999999818e+02 3.310486486486485802e+01
3.824499999999999886e+02 3.332567567567566869e+01
3.828799999999999955e+02 3.354648648648648646e+01
3.833100000000000023e+02 3.376729729729729712e+01
3.837400000000000091e+02 3.398810810810811489e+01
3.841700000000000159e+02 3.420891891891892556e+01
3.846000000000000227e+02 3.442972972972974333e+01
3.850299999999999727e+02 3.465054054054052557e+01
3.854599999999999795e+02 3.487135135135134334e+01
3.858899999999999864e+02 3.509216216216215400e+01
3.863199999999999932e+02 3.531297297297297177e+01
3.867500000000000000e+02 3.553378378378378244e+01
3.871800000000000068e+02 3.575459459459460021e+01
3.876100000000000136e+02 3.597540540540541087e+01
3.880399999999999636e+02 3.619621621621620022e+01
3.884700000000000273e+02 3.641702702702703931e+01
3.888999999999999773e+02 3.663783783783782866e+01
3.893299999999999841e+02 3.685864864864863932e+01
3.897599999999999909e+02 3.707945945945945709e+01
3.901899999999999977e+02 3.730027027027026776e+01
3.906200000000000045e+02 3.752108108108108553e+01
3.910500000000000114e+02 3.774189189189189619e+01
3.914800000000000182e+02 3.796270270270271396e+01
3.919099999999999682e+02 3.818351351351349621e+01
3.923400000000000318e+02 3.840432432432434240e+01
3.927699999999999818e+02 3.862513513513512464e+01
3.931999999999999886e+02 3.884594594594594241e+01
3.936299999999999955e+02 3.906675675675675308e+01
3.940600000000000023e+02 3.928756756756757085e+01
3.944900000000000091e+02 3.950837837837838151e+01
3.949200000000000159e+02 3.972918918918919928e+01
3.953500000000000227e+02 3.995000000000000995e+01
3.957799999999999727e+02 4.017081081081079219e+01
3.962099999999999795e+02 4.039162162162160996e+01
3.966399999999999864e+02 4.061243243243242773e+01
3.970699999999999932e+02 4.083324324324323840e+01
3.975000000000000000e+02 4.105405405405404906e+01
3.979300000000000068e+02 4.127486486486486683e+01
3.983600000000000136e+02 4.149567567567568460e+01
3.987899999999999636e+02 4.171648648648646684e+01
3.992200000000000273e+02 4.193729729729731304e+01
3.996499999999999773e+02 4.215810810810809528e+01
4.000799999999999841e+02 4.237891891891891305e+01
4.005099999999999909e+02 4.259972972972972372e+01
4.009399999999999977e+02 4.282054054054053438e+01
4.013700000000000045e+02 4.304135135135135215e+01
4.018000000000000114e+02 4.326216216216216992e+01
4.022300000000000182e+02 4.348297297297298059e+01
4.026599999999999682e+02 4.370378378378376283e+01
4.030900000000000318e+02 4.392459459459460902e+01
4.035199999999999818e+02 4.414540540540539837e+01
4.039499999999999886e+02 4.436621621621620903e+01
4.043799999999999955e+02 4.458702702702701970e+01
4.048100000000000023e+02 4.480783783783783747e+01
4.052400000000000091e+02 4.502864864864865524e+01
4.056700000000000159e+02 4.524945945945946590e+01
4.061000000000000227e+02 4.547027027027028367e+01
4.065299999999999727e+02 4.569108108108106592e+01
4.069599999999999795e+02 4.591189189189188369e+01
4.073899999999999864e+02 4.613270270270269435e+01
4.078199999999999932e+02 4.635351351351350502e+01
4.082500000000000000e+02 4.657432432432432279e+01
4.086800000000000068e+02 4.679513513513514056e+01
4.091100000000000136e+02 4.701594594594595122e+01
4.095399999999999636e+02 4.723675675675673347e+01
4.099700000000000273e+02 4.745756756756757966e+01
4.103999999999999773e+02 4.767837837837836901e+01
4.108299999999999841e+02 4.789918918918917967e+01
4.112599999999999909e+02 4.811999999999999034e+01
4.116899999999999977e+02 4.834081081081080811e+01
4.121200000000000045e+02 4.858142857142857451e+01
4.125500000000000114e+02 4.887321428571429038e+01
4.129800000000000182e+02 4.916500000000001336e+01
4.134099999999999682e+02 4.945678571428569370e+01
4.138400000000000318e+02 4.974857142857145220e+01
4.142699999999999818e+02 5.004035714285713254e+01
4.146999999999999886e+02 5.033214285714284841e+01
4.151299999999999955e+02 5.062392857142857139e+01
4.155600000000000023e+02 5.091571428571428726e+01
4.159900000000000091e+02 5.120750000000000313e+01
4.164200000000000159e+02 5.149928571428572610e+01
4.168500000000000227e+02 5.179107142857144197e+01
4.172799999999999727e+02 5.208285714285712231e+01
4.177099999999999795e+02 5.237464285714284529e+01
4.181399999999999864e+02 5.266642857142856116e+01
4.185699999999999932e+02 5.295821428571428413e+01
4.190000000000000000e+02 5.325000000000000000e+01
4.194300000000000068e+02 5.354178571428572297e+01
4.198600000000000136e+02 5.383357142857143884e+01
4.202899999999999636e+02 5.412535714285711919e+01
4.207200000000000273e+02 5.441714285714287769e+01
4.211499999999999773e+02 5.470892857142855803e+01
4.215799999999999841e+02 5.500071428571427390e+01
4.220099999999999909e+02 5.529249999999999687e+01
4.224399999999999977e+02 5.558428571428571274e+01
4.228700000000000045e+02 5.587607142857143572e+01
4.233000000000000114e+02 5.616785714285715159e+01
4.237300000000000182e+02 5.645964285714286746e+01
4.241599999999999682e+02 5.675142857142854780e+01
4.245900000000000318e+02 5.704321428571430630e+01
4.250199999999999818e+02 5.733499999999998664e+01
4.254499999999999886e+02 5.762678571428570962e+01
4.258799999999999955e+02 5.791857142857142549e+01
4.263100000000000023e+02 5.821035714285714846e+01
4.267400000000000091e+02 5.850214285714286433e+01
4.271699999999999591e+02 5.879392857142854467e+01
4.276000000000000227e+02 5.908571428571430317e+01
4.280299999999999727e+02 5.937749999999998352e+01
4.284600000000000364e+02 5.966928571428574202e+01
4.288899999999999864e+02 5.996107142857142236e+01
4.293199999999999932e+02 6.025285714285713823e+01
4.297500000000000000e+02 6.054464285714286120e+01
4.301800000000000068e+02 6.083642857142857707e+01
4.306100000000000136e+02 6.112821428571429294e+01
4.310399999999999636e+02 6.141999999999997328e+01
4.314700000000000273e+02 6.171178571428573179e+01
4.318999999999999773e+02 6.200357142857141213e+01
4.323299999999999841e+02 6.229535714285713510e+01
4.327599999999999909e+02 6.258714285714285097e+01
4.331899999999999977e+02 6.287892857142857395e+01
4.336200000000000045e+02 6.317071428571428982e+01
4.340500000000000114e+02 6.346250000000000568e+01
4.344800000000000182e+02 6.375428571428572866e+01
4.349099999999999682e+02 6.404607142857140900e+01
4.353400000000000318e+02 6.433785714285716040e+01
4.357699999999999818e+02 6.462964285714284074e+01
4.361999999999999886e+02 6.492142857142856371e+01
4.366299999999999955e+02 6.521321428571428669e+01
4.370600000000000023e+02 6.550499999999999545e+01
4.374900000000000091e+02 6.579678571428571843e+01
4.379199999999999591e+02 6.608857142857139877e+01
4.383500000000000227e+02 6.638035714285716438e+01
4.387799999999999727e+02 6.667214285714284472e+01
4.392100000000000364e+02 6.696392857142859611e+01
4.396399999999999864e+02 6.725571428571427646e+01
4.400699999999999932e+02 6.748300000000000409e+01
4.405000000000000000e+02 6.737857142857143344e+01
4.409300000000000068e+02 6.727414285714284858e+01
4.413600000000000136e+02 6.716971428571427793e+01
4.417899999999999636e+02 6.706528571428572150e+01
4.422200000000000273e+02 6.696085714285713664e+01
4.426499999999999773e+02 6.685642857142858020e+01
4.430799999999999841e+02 6.675200000000000955e+01
4.435099999999999909e+02 6.664757142857142469e+01
4.439399999999999977e+02 6.654314285714285404e+01
4.443700000000000045e+02 6.643871428571428339e+01
4.448000000000000114e+02 6.633428571428571274e+01
4.452300000000000182e+02 6.622985714285714209e+01
4.456599999999999682e+02 6.612542857142858566e+01
4.460900000000000318e+02 6.602099999999998658e+01
4.465199999999999818e+02 6.591657142857143015e+01
4.469499999999999886e+02 6.581214285714285950e+01
4.473799999999999955e+02 6.570771428571428885e+01
4.478100000000000023e+02 6.560328571428571820e+01
4.482400000000000091e+02 6.549885714285714755e+01
4.486699999999999591e+02 6.539442857142857690e+01
4.491000000000000227e+02 6.528999999999999204e+01
4.495299999999999727e+02 6.518557142857143560e+01
4.499600000000000364e+02 6.508114285714285074e+01
4.503899999999999864e+02 6.497671428571429431e+01
4.508199999999999932e+02 6.487228571428570945e+01
4.512500000000000000e+02 6.476785714285713880e+01
4.516800000000000068e+02 6.466342857142856815e+01
4.521100000000000136e+02 6.455899999999999750e+01
4.525399999999999636e+02 6.445457142857144106e+01
4.529700000000000273e+02 6.435014285714285620e+01
4.533999999999999773e+02 6.424571428571428555e+01
4.538299999999999841e+02 6.414128571428571490e+01
4.542599999999999909e+02 6.403685714285714425e+01
4.546899999999999977e+02 6.393242857142857360e+01
4.551200000000000045e+02 6.382799999999999585e+01
4.555500000000000114e+02 6.372357142857142520e+01
4.559800000000000182e+02 6.361914285714285455e+01
4.564099999999999682e+02 6.351471428571429101e+01
4.568400000000000318e+02 6.341028571428570615e+01
4.572699999999999818e+02 6.330585714285714971e+01
4.576999999999999886e+02 6.320142857142857196e+01
4.581299999999999955e+02 6.309700000000000131e+01
4.585600000000000023e+02 6.299257142857143066e+01
4.589900000000000091e+02 6.288814285714285290e+01
4.594199999999999591e+02 6.278371428571429647e+01
4.598500000000000227e+02 6.267928571428571161e+01
4.602799999999999727e+02 6.257485714285714806e+01
4.607100000000000364e+02 6.247042857142856320e+01
4.611399999999999864e+02 6.236599999999999966e+01
4.615699999999999932e+02 6.226157142857142901e+01
4.620000000000000000e+02 6.215714285714285836e+01
4.624300000000000068e+02 6.205271428571428771e+01
4.628600000000000136e+02 6.194828571428570996e+01
4.632899999999999636e+02 6.184385714285715352e+01
4.637200000000000273e+02 6.173942857142856155e+01
4.641499999999999773e+02 6.163500000000000512e+01
4.645799999999999841e+02 6.153057142857143447e+01
4.650099999999999909e+02 6.142614285714285671e+01
4.654399999999999977e+02 6.132171428571428606e+01
4.658700000000000045e+02 6.121728571428571541e+01
4.663000000000000114e+02 6.111285714285713766e+01
4.667300000000000182e+02 6.100842857142856701e+01
4.671599999999999682e+02 6.090400000000001057e+01
4.675900000000000318e+02 6.079957142857141861e+01
4.680199999999999818e+02 6.069514285714286217e+01
4.684499999999999886e+02 6.059071428571429152e+01
4.688799999999999955e+02 6.048628571428571377e+01
4.693100000000000023e+02 6.038185714285714312e+01
4.697400000000000091e+02 6.027742857142857247e+01
4.701699999999999591e+02 6.017300000000000892e+01
4.706000000000000227e+02 6.006857142857142406e+01
4.710299999999999727e+02 5.996414285714286052e+01
4.714600000000000364e+02 5.985971428571427566e+01
4.718899999999999864e+02 5.975528571428571922e+01
4.723199999999999932e+02 5.965085714285714857e+01
4.727500000000000000e+02 5.954642857142857082e+01
4.731800000000000068e+02 5.944200000000000017e+01
4.736100000000000136e+02 5.933757142857142242e+01
