#for d=100m lambda=500nm
#cos(delta)	rate
-0.9999500004166653 0.0002086511027277611
-0.9973173569503041 2.0735013823475216e-05
-0.9906943849447265 9.370566177171737e-06
-0.9801075833212882 5.686677827195066e-06
-0.9655993105292455 3.940826907875631e-06
-0.947227615066976 2.942770894071511e-06
-0.9250660032263396 2.304510519932397e-06
-0.8992031449894502 1.8642935884583686e-06
-0.8697425192545837 1.5465597430249738e-06
-0.8368019998106933 1.3062747067777224e-06
-0.8005133837170779 1.1203927166975157e-06
-0.761021863975181 9.72880931246122e-07
-0.7184854486023945 8.539154315935978e-07
-0.6730743284321941 7.56561456954388e-07
-0.6249701961700653 6.76009793600994e-07
-0.5743655194297347 6.087791133846367e-07
-0.5214627706583203 5.521987110457643e-07
-0.4664736170315242 5.042924886445822e-07
-0.409618073560152 4.635442959071093e-07
-0.3511236227964165 4.286430693088976e-07
-0.29122430466215643 3.987300763303837e-07
-0.23015978004060472 3.72969745782633e-07
-0.16817437187834738 3.5072038829968707e-07
-0.10551608763407413 3.3150323485063866e-07
-0.042435626985371115 3.1490453627720083e-07
0.02081462123622329 3.0057411426762386e-07
0.08398158886857213 2.8822401891041816e-07
0.1468125409603352 2.7760667610550173e-07
0.20905608697917072 2.685566355111902e-07
0.27046318664082963 2.609130177773759e-07
0.3307881463347652 2.5446725399810394e-07
0.3897896021594906 2.491488183159217e-07
0.4472314856345049 2.4484467420321197e-07
0.5028839682249094 2.414577260778061e-07
0.556524380899617 2.389066474138958e-07
0.6079381050439409 2.3708972612405364e-07
0.6569194311619719 2.358861310332401e-07
0.7032723819330149 2.35265539860847e-07
0.7468114963289934 2.3514126725252336e-07
0.7873625716555133 2.3541600757276373e-07
0.824763360547638 2.3601912446771756e-07
0.8588642201316464 2.368636722527725e-07
0.8895287107554446 2.3787028396006136e-07
0.9166341418920663 2.389604312794404e-07
0.9400720630320737 2.400547377880248e-07
0.959748697600766 2.4108671923108356e-07
0.9755853181640639 2.4199139488451197e-07
0.9875185614218523 2.427175962250941e-07
0.9955006817284698 2.432259449953446e-07
0.9994997421259953 2.434863191529768e-07
0.9994997421259953 2.434863191529768e-07
0.9955006817284698 2.432259449953446e-07
0.9875185614218523 2.427175962250941e-07
0.975585318164064 2.4199139488451197e-07
0.9597486976007661 2.4108671923108356e-07
0.9400720630320738 2.4005473778802483e-07
0.9166341418920663 2.389604312794404e-07
0.8895287107554446 2.3787028396006136e-07
0.8588642201316468 2.368636722527725e-07
0.8247633605476382 2.3601912446771756e-07
0.7873625716555136 2.3541600757276378e-07
0.7468114963289934 2.3514126725252336e-07
0.7032723819330152 2.35265539860847e-07
0.6569194311619723 2.3588613103324006e-07
0.6079381050439413 2.370897261240537e-07
0.5565243808996174 2.3890664741389585e-07
0.5028839682249094 2.414577260778061e-07
0.44723148563450527 2.4484467420321186e-07
0.3897896021594906 2.491488183159217e-07
0.33078814633476544 2.5446725399810394e-07
0.27046318664083024 2.609130177773759e-07
0.20905608697917072 2.685566355111902e-07
0.14681254096033564 2.776066761055017e-07
0.0839815888685719 2.8822401891041816e-07
0.02081462123622351 3.0057411426762386e-07
-0.04243562698537067 3.1490453627720083e-07
-0.10551608763407413 3.3150323485063866e-07
-0.16817437187834694 3.507203882996869e-07
-0.23015978004060406 3.729697457826327e-07
-0.2912243046621562 3.9873007633038365e-07
-0.3511236227964161 4.286430693088974e-07
-0.409618073560152 4.635442959071093e-07
-0.4664736170315242 5.042924886445822e-07
-0.5214627706583195 5.521987110457634e-07
-0.5743655194297347 6.087791133846367e-07
-0.624970196170065 6.760097936009935e-07
-0.6730743284321941 7.56561456954388e-07
-0.7184854486023945 8.539154315935978e-07
-0.7610218639751803 9.7288093124612e-07
-0.8005133837170779 1.1203927166975157e-06
-0.836801999810693 1.3062747067777215e-06
-0.8697425192545837 1.5465597430249738e-06
-0.8992031449894502 1.8642935884583686e-06
-0.9250660032263394 2.304510519932393e-06
-0.947227615066976 2.942770894071511e-06
-0.9655993105292454 3.940826907875623e-06
-0.9801075833212882 5.686677827195066e-06
-0.9906943849447265 9.370566177171737e-06
-0.997317356950304 2.0735013823474968e-05
-0.9999500004166653 0.0002086511027277611
