# PMT angular acceptance
#cosalfa Acceptance
1	1.565
0.95	1.453
0.9	1.295
0.85	1.149
0.8	1.013
0.75	0.903
0.700000000000001	0.812
0.650000000000001	0.738
0.600000000000001	0.67
0.550000000000001	0.615
0.500000000000001	0.562
0.450000000000001	0.506
0.400000000000001	0.456
0.350000000000001	0.404
0.300000000000001	0.354
0.250000000000002	0.304
0.200000000000002	0.263
0.150000000000002	0.22
0.100000000000002	0.178
0.050000000000002	0.138
0	0.101
-0.049999999999998	0.069
#-0.099999999999998	0.0041
-0.149999999999998	0.019
-0.2	0.004
-0.25	0

