#for d=200m lambda=500nm
#cos(delta)	rate
-0.9999500004166653 6.77999633269798e-06
-0.9973173569503041 6.229052891232627e-07
-0.9906943849447265 2.8140316977189316e-07
-0.9801075833212882 1.7118926141478794e-07
-0.9655993105292455 1.1872351899855479e-07
-0.947227615066976 8.756936002946476e-08
-0.9250660032263396 6.77789250976716e-08
-0.8992031449894502 5.406073536179257e-08
-0.8697425192545837 4.4123306501873376e-08
-0.8368019998106933 3.6692486144969594e-08
-0.8005133837170779 3.093027933982671e-08
-0.761021863975181 2.641058638401428e-08
-0.7184854486023945 2.2807546630380464e-08
-0.6730743284321941 1.9897415116743606e-08
-0.6249701961700653 1.751976364533665e-08
-0.5743655194297347 1.5558978069187398e-08
-0.5214627706583203 1.3928428002298796e-08
-0.4664736170315242 1.2563134658692916e-08
-0.409618073560152 1.1412895520528423e-08
-0.3511236227964165 1.0438362115837567e-08
-0.29122430466215643 9.609359963931217e-09
-0.23015978004060472 8.901317410801804e-09
-0.16817437187834738 8.294672983415061e-09
-0.10551608763407413 7.77385989659696e-09
-0.042435626985371115 7.326342057925896e-09
0.02081462123622329 6.94186941776929e-09
0.08398158886857213 6.611964738159749e-09
0.1468125409603352 6.329784754291192e-09
0.20905608697917072 6.0896821802237385e-09
0.27046318664082963 5.886923632800775e-09
0.3307881463347652 5.717407839918009e-09
0.3897896021594906 5.57738493343284e-09
0.4472314856345049 5.464040029157764e-09
0.5028839682249094 5.374898881457345e-09
0.556524380899617 5.307426863356071e-09
0.6079381050439409 5.2592920107300824e-09
0.6569194311619719 5.228228308630844e-09
0.7032723819330149 5.212102756025566e-09
0.7468114963289934 5.208750463744521e-09
0.7873625716555133 5.216068527358636e-09
0.824763360547638 5.231757245022315e-09
0.8588642201316464 5.25375903665967e-09
0.8895287107554446 5.2799328147971784e-09
0.9166341418920663 5.308180156022104e-09
0.9400720630320737 5.3365575660226105e-09
0.959748697600766 5.363292803817244e-09
0.9755853181640639 5.386729785195878e-09
0.9875185614218523 5.4055476667661035e-09
0.9955006817284698 5.4187236710610565e-09
0.9994997421259953 5.42546621947537e-09
0.9994997421259953 5.42546621947537e-09
0.9955006817284698 5.4187236710610565e-09
0.9875185614218523 5.4055476667661035e-09
0.975585318164064 5.386729785195878e-09
0.9597486976007661 5.363292803817244e-09
0.9400720630320738 5.3365575660226105e-09
0.9166341418920663 5.308180156022104e-09
0.8895287107554446 5.2799328147971784e-09
0.8588642201316468 5.253759036659671e-09
0.8247633605476382 5.231757245022316e-09
0.7873625716555136 5.216068527358637e-09
0.7468114963289934 5.208750463744521e-09
0.7032723819330152 5.212102756025566e-09
0.6569194311619723 5.228228308630844e-09
0.6079381050439413 5.25929201073008e-09
0.5565243808996174 5.3074268633560705e-09
0.5028839682249094 5.374898881457345e-09
0.44723148563450527 5.464040029157765e-09
0.3897896021594906 5.57738493343284e-09
0.33078814633476544 5.717407839918009e-09
0.27046318664083024 5.886923632800772e-09
0.20905608697917072 6.0896821802237385e-09
0.14681254096033564 6.329784754291188e-09
0.0839815888685719 6.6119647381597486e-09
0.02081462123622351 6.94186941776929e-09
-0.04243562698537067 7.326342057925896e-09
-0.10551608763407413 7.77385989659696e-09
-0.16817437187834694 8.294672983415056e-09
-0.23015978004060406 8.901317410801798e-09
-0.2912243046621562 9.609359963931217e-09
-0.3511236227964161 1.0438362115837562e-08
-0.409618073560152 1.1412895520528423e-08
-0.4664736170315242 1.2563134658692916e-08
-0.5214627706583195 1.3928428002298771e-08
-0.5743655194297347 1.5558978069187398e-08
-0.624970196170065 1.7519763645336633e-08
-0.6730743284321941 1.9897415116743606e-08
-0.7184854486023945 2.2807546630380464e-08
-0.7610218639751803 2.641058638401423e-08
-0.8005133837170779 3.093027933982671e-08
-0.836801999810693 3.6692486144969555e-08
-0.8697425192545837 4.4123306501873376e-08
-0.8992031449894502 5.406073536179257e-08
-0.9250660032263394 6.777892509767147e-08
-0.947227615066976 8.756936002946476e-08
-0.9655993105292454 1.1872351899855455e-07
-0.9801075833212882 1.7118926141478794e-07
-0.9906943849447265 2.8140316977189316e-07
-0.997317356950304 6.229052891232519e-07
-0.9999500004166653 6.77999633269798e-06
