# #lambda	QE(%)
3.456800000000000068e+02 1.905520000000000280e+01
3.461200000000000045e+02 1.922680000000000078e+01
3.465600000000000023e+02 1.939839999999999876e+01
3.470000000000000000e+02 1.957000000000000028e+01
3.474399999999999977e+02 1.974159999999999826e+01
3.478799999999999955e+02 1.991319999999999624e+01
3.483199999999999932e+02 2.008479999999999421e+01
3.487599999999999909e+02 2.025639999999999574e+01
3.491999999999999886e+02 2.042799999999999372e+01
3.496399999999999864e+02 2.059959999999999170e+01
3.500799999999999841e+02 2.075887999999999423e+01
3.505199999999999818e+02 2.086271999999999593e+01
3.509599999999999795e+02 2.096655999999999409e+01
3.513999999999999773e+02 2.107039999999999225e+01
3.518400000000000318e+02 2.117424000000000817e+01
3.522799999999999727e+02 2.127807999999999211e+01
3.527200000000000273e+02 2.138192000000000803e+01
3.531599999999999682e+02 2.148575999999999198e+01
3.536000000000000227e+02 2.158960000000000434e+01
3.540400000000000205e+02 2.169344000000000605e+01
3.544800000000000182e+02 2.179728000000000421e+01
3.549200000000000159e+02 2.190112000000000592e+01
3.553600000000000136e+02 2.201288000000000622e+01
3.558000000000000114e+02 2.212640000000000384e+01
3.562400000000000091e+02 2.223992000000000502e+01
3.566800000000000068e+02 2.235344000000000264e+01
3.571200000000000045e+02 2.246696000000000382e+01
3.575600000000000023e+02 2.258048000000000144e+01
3.580000000000000000e+02 2.269400000000000261e+01
3.584399999999999977e+02 2.280752000000000024e+01
3.588799999999999955e+02 2.292104000000000141e+01
3.593199999999999932e+02 2.303455999999999904e+01
3.597599999999999909e+02 2.314808000000000021e+01
3.601999999999999886e+02 2.323799999999999955e+01
3.606399999999999864e+02 2.329959999999999809e+01
3.610799999999999841e+02 2.336120000000000019e+01
3.615199999999999818e+02 2.342279999999999873e+01
3.619599999999999795e+02 2.348439999999999728e+01
3.623999999999999773e+02 2.354599999999999582e+01
3.628400000000000318e+02 2.360760000000000502e+01
3.632799999999999727e+02 2.366919999999999646e+01
3.637200000000000273e+02 2.373080000000000567e+01
3.641599999999999682e+02 2.379239999999999711e+01
3.646000000000000227e+02 2.385400000000000276e+01
3.650400000000000205e+02 2.391720000000000468e+01
3.654800000000000182e+02 2.399640000000000484e+01
3.659200000000000159e+02 2.407560000000000144e+01
3.663600000000000136e+02 2.415480000000000160e+01
3.668000000000000114e+02 2.423400000000000176e+01
3.672400000000000091e+02 2.431320000000000192e+01
3.676800000000000068e+02 2.439240000000000208e+01
3.681200000000000045e+02 2.447159999999999869e+01
3.685600000000000023e+02 2.455079999999999885e+01
3.690000000000000000e+02 2.462999999999999901e+01
3.694399999999999977e+02 2.470919999999999916e+01
3.698799999999999955e+02 2.478839999999999932e+01
3.703199999999999932e+02 2.484903999999999868e+01
3.707599999999999909e+02 2.490271999999999863e+01
3.711999999999999886e+02 2.495639999999999858e+01
3.716399999999999864e+02 2.501007999999999853e+01
3.720799999999999841e+02 2.506375999999999848e+01
3.725199999999999818e+02 2.511743999999999843e+01
3.729599999999999795e+02 2.517111999999999838e+01
3.733999999999999773e+02 2.522479999999999833e+01
3.738400000000000318e+02 2.527848000000000539e+01
3.742799999999999727e+02 2.533215999999999823e+01
3.747200000000000273e+02 2.538584000000000529e+01
3.751599999999999682e+02 2.543055999999999983e+01
3.756000000000000227e+02 2.545960000000000178e+01
3.760400000000000205e+02 2.548864000000000374e+01
3.764800000000000182e+02 2.551768000000000214e+01
3.769200000000000159e+02 2.554672000000000054e+01
3.773600000000000136e+02 2.557576000000000249e+01
3.778000000000000114e+02 2.560480000000000089e+01
3.782400000000000091e+02 2.563384000000000285e+01
3.786800000000000068e+02 2.566288000000000125e+01
3.791200000000000045e+02 2.569191999999999965e+01
3.795600000000000023e+02 2.572096000000000160e+01
3.800000000000000000e+02 2.575000000000000000e+01
3.804399999999999977e+02 2.576935999999999893e+01
3.808799999999999955e+02 2.578871999999999787e+01
3.813199999999999932e+02 2.580808000000000035e+01
3.817599999999999909e+02 2.582743999999999929e+01
3.821999999999999886e+02 2.584679999999999822e+01
3.826399999999999864e+02 2.586615999999999715e+01
3.830799999999999841e+02 2.588551999999999964e+01
3.835199999999999818e+02 2.590487999999999857e+01
3.839599999999999795e+02 2.592423999999999751e+01
3.843999999999999773e+02 2.594359999999999644e+01
3.848400000000000318e+02 2.596295999999999893e+01
3.852799999999999727e+02 2.598231999999999786e+01
3.857200000000000273e+02 2.600168000000000035e+01
3.861599999999999682e+02 2.602103999999999928e+01
3.866000000000000227e+02 2.604040000000000177e+01
3.870400000000000205e+02 2.605976000000000070e+01
3.874800000000000182e+02 2.607911999999999964e+01
