# #for lambda=500nm
# #cos(delta)	rate
-9.999500004166652634e-01 5.695447374975738785e+04
-9.973173569503041014e-01 5.676033982125949478e+03
-9.906943849447265027e-01 2.699125447349690603e+03
-9.801075833212882227e-01 1.696961515880823526e+03
-9.655993105292455247e-01 1.191951716048751678e+03
-9.472276150669759476e-01 8.902439490445995034e+02
-9.250660032263395838e-01 6.906047209341347752e+02
-8.992031449894501982e-01 5.507327011671021637e+02
-8.697425192545836792e-01 4.487781107377977605e+02
-8.368019998106932533e-01 3.718861293473394767e+02
-8.005133837170779199e-01 3.123697037471831095e+02
-7.610218639751810121e-01 2.658199272587855830e+02
-7.184854486023944942e-01 2.286581024762793390e+02
-6.730743284321940578e-01 1.986688318694943121e+02
-6.249701961700653285e-01 1.742326644020830315e+02
-5.743655194297346833e-01 1.540835834093674066e+02
-5.214627706583202515e-01 1.374264729074243689e+02
-4.664736170315241792e-01 1.234680645321404597e+02
-4.096180735601520073e-01 1.117928528774052239e+02
-3.511236227964165124e-01 1.019045712575331777e+02
-2.912243046621564302e-01 9.346211633782409933e+01
-2.301597800406047223e-01 8.632287284707116726e+01
-1.681743718783473840e-01 8.022157864838797536e+01
-1.055160876340741349e-01 7.499607740109016163e+01
-4.243562698537111516e-02 7.051508443981212793e+01
2.081462123622328936e-02 6.667854379447295798e+01
8.398158886857212679e-02 6.341096250483944630e+01
1.468125409603351916e-01 6.059820634247639504e+01
2.090560869791707188e-01 5.823917274383571652e+01
2.704631866408296337e-01 5.624162570306710762e+01
3.307881463347652207e-01 5.456545369731514938e+01
3.897896021594906002e-01 5.319811935783423706e+01
4.472314856345048772e-01 5.209227136140878400e+01
5.028839682249094389e-01 5.123328363988103007e+01
5.565243808996169772e-01 5.059988282399704929e+01
6.079381050439408574e-01 5.015138848550893869e+01
6.569194311619719340e-01 4.986733574493406707e+01
7.032723819330148896e-01 4.976638190223557956e+01
7.468114963289933517e-01 4.978351227118076139e+01
7.873625716555132659e-01 4.988548949965648660e+01
8.247633605476379914e-01 5.007809307145424782e+01
8.588642201316464275e-01 5.032802327192796810e+01
8.895287107554445960e-01 5.061862873043875766e+01
9.166341418920662676e-01 5.093459022923485691e+01
9.400720630320736904e-01 5.125735600030454719e+01
9.597486976007659765e-01 5.154784663529508038e+01
9.755853181640639082e-01 5.180622405575694955e+01
9.875185614218523478e-01 5.201028710806956212e+01
9.955006817284698384e-01 5.215205648148084805e+01
9.994997421259953496e-01 5.222470262352392467e+01
9.994997421259953496e-01 5.222470262352392467e+01
9.955006817284698384e-01 5.215205648148084805e+01
9.875185614218523478e-01 5.201028710806956212e+01
9.755853181640640193e-01 5.180622405575694955e+01
9.597486976007660875e-01 5.154784663529508038e+01
9.400720630320738014e-01 5.125735600030456141e+01
9.166341418920662676e-01 5.093459022923485691e+01
8.895287107554445960e-01 5.061862873043875766e+01
8.588642201316467606e-01 5.032802327192796810e+01
8.247633605476382135e-01 5.007809307145421940e+01
7.873625716555135989e-01 4.988548949965649371e+01
7.468114963289933517e-01 4.978351227118076139e+01
7.032723819330152226e-01 4.976638190223557956e+01
6.569194311619722670e-01 4.986733574493408838e+01
6.079381050439413015e-01 5.015138848550893869e+01
5.565243808996174213e-01 5.059988282399706350e+01
5.028839682249094389e-01 5.123328363988103007e+01
4.472314856345052658e-01 5.209227136140878400e+01
3.897896021594906002e-01 5.319811935783423706e+01
3.307881463347654427e-01 5.456545369731510675e+01
2.704631866408302443e-01 5.624162570306708631e+01
2.090560869791707188e-01 5.823917274383571652e+01
1.468125409603356357e-01 6.059820634247639504e+01
8.398158886857190475e-02 6.341096250483944630e+01
2.081462123622351140e-02 6.667854379447292956e+01
-4.243562698537067107e-02 7.051508443981208529e+01
-1.055160876340741349e-01 7.499607740109016163e+01
-1.681743718783469399e-01 8.022157864838787589e+01
-2.301597800406040562e-01 8.632287284707109620e+01
-2.912243046621562081e-01 9.346211633782407091e+01
-3.511236227964161238e-01 1.019045712575329929e+02
-4.096180735601520073e-01 1.117928528774052239e+02
-4.664736170315241792e-01 1.234680645321404597e+02
-5.214627706583194744e-01 1.374264729074242268e+02
-5.743655194297346833e-01 1.540835834093674066e+02
-6.249701961700649955e-01 1.742326644020828326e+02
-6.730743284321940578e-01 1.986688318694943121e+02
-7.184854486023944942e-01 2.286581024762793390e+02
-7.610218639751803460e-01 2.658199272587851283e+02
-8.005133837170779199e-01 3.123697037471831095e+02
-8.368019998106930313e-01 3.718861293473388514e+02
-8.697425192545836792e-01 4.487781107377977605e+02
-8.992031449894501982e-01 5.507327011671021637e+02
-9.250660032263393617e-01 6.906047209341331836e+02
-9.472276150669759476e-01 8.902439490445995034e+02
-9.655993105292454137e-01 1.191951716048750541e+03
-9.801075833212882227e-01 1.696961515880823526e+03
-9.906943849447265027e-01 2.699125447349690603e+03
-9.973173569503039904e-01 5.676033982125856710e+03
-9.999500004166652634e-01 5.695447374975738785e+04
