#for d=300m lambda=500nm
#cos(delta)	rate
-0.9999500004166653 2.9794783372358977e-07
-0.9973173569503041 2.6595451662734505e-08
-0.9906943849447265 1.2067014265480978e-08
-0.9801075833212882 7.3370671575743445e-09
-0.9655993105292455 5.043731943944935e-09
-0.947227615066976 3.6951765205197815e-09
-0.9250660032263396 2.8281349836067383e-09
-0.8992031449894502 2.2326245758616417e-09
-0.8697425192545837 1.8028877921284363e-09
-0.8368019998106933 1.4832483554593057e-09
-0.8005133837170779 1.2394462385898427e-09
-0.761021863975181 1.049614576021777e-09
-0.7184854486023945 8.991569289677863e-10
-0.6730743284321941 7.78532013896304e-10
-0.6249701961700653 6.807059497230074e-10
-0.5743655194297347 6.005844850320277e-10
-0.5214627706583203 5.343959821652435e-10
-0.4664736170315242 4.793046692475118e-10
-0.409618073560152 4.331518400422982e-10
-0.3511236227964165 3.9426850404122905e-10
-0.29122430466215643 3.613467154472013e-10
-0.23015978004060472 3.3335821784528793e-10
-0.16817437187834738 3.0948492405298756e-10
-0.10551608763407413 2.8907378245074187e-10
-0.042435626985371115 2.7159867617064365e-10
0.02081462123622329 2.566368818731744e-10
0.08398158886857213 2.4383792612498297e-10
0.1468125409603352 2.329209602035115e-10
0.20905608697917072 2.236525305538853e-10
0.27046318664082963 2.1583640216523864e-10
0.3307881463347652 2.093133967112949e-10
0.3897896021594906 2.039483810543123e-10
0.4472314856345049 1.9962251801241412e-10
0.5028839682249094 1.962285955387465e-10
0.556524380899617 1.9366739826450056e-10
0.6079381050439409 1.9185180690446305e-10
0.6569194311619719 1.9069801852788255e-10
0.7032723819330149 1.9011686768437e-10
0.7468114963289934 1.9002763543531884e-10
0.7873625716555133 1.9034676127324532e-10
0.824763360547638 1.9099125860567007e-10
0.8588642201316464 1.918758930340386e-10
0.8895287107554446 1.929187697093007e-10
0.9166341418920663 1.940409057670963e-10
0.9400720630320737 1.951661475044264e-10
0.959748697600766 1.9622298688621823e-10
0.9755853181640639 1.9714881328660543e-10
0.9875185614218523 1.9789339522475777e-10
0.9955006817284698 1.984123120013863e-10
0.9994997421259953 1.986796110456883e-10
0.9994997421259953 1.986796110456883e-10
0.9955006817284698 1.984123120013863e-10
0.9875185614218523 1.9789339522475777e-10
0.975585318164064 1.9714881328660546e-10
0.9597486976007661 1.9622298688621823e-10
0.9400720630320738 1.951661475044264e-10
0.9166341418920663 1.940409057670963e-10
0.8895287107554446 1.929187697093007e-10
0.8588642201316468 1.9187589303403863e-10
0.8247633605476382 1.9099125860567012e-10
0.7873625716555136 1.9034676127324521e-10
0.7468114963289934 1.9002763543531884e-10
0.7032723819330152 1.9011686768437e-10
0.6569194311619723 1.906980185278825e-10
0.6079381050439413 1.918518069044631e-10
0.5565243808996174 1.936673982645005e-10
0.5028839682249094 1.962285955387465e-10
0.44723148563450527 1.996225180124142e-10
0.3897896021594906 2.039483810543123e-10
0.33078814633476544 2.093133967112949e-10
0.27046318664083024 2.1583640216523864e-10
0.20905608697917072 2.236525305538853e-10
0.14681254096033564 2.3292096020351145e-10
0.0839815888685719 2.4383792612498307e-10
0.02081462123622351 2.566368818731744e-10
-0.04243562698537067 2.715986761706435e-10
-0.10551608763407413 2.8907378245074187e-10
-0.16817437187834694 3.0948492405298756e-10
-0.23015978004060406 3.333582178452879e-10
-0.2912243046621562 3.613467154472013e-10
-0.3511236227964161 3.9426850404122874e-10
-0.409618073560152 4.331518400422982e-10
-0.4664736170315242 4.793046692475118e-10
-0.5214627706583195 5.343959821652426e-10
-0.5743655194297347 6.005844850320277e-10
-0.624970196170065 6.807059497230067e-10
-0.6730743284321941 7.78532013896304e-10
-0.7184854486023945 8.991569289677863e-10
-0.7610218639751803 1.0496145760217745e-09
-0.8005133837170779 1.2394462385898427e-09
-0.836801999810693 1.4832483554593037e-09
-0.8697425192545837 1.8028877921284363e-09
-0.8992031449894502 2.2326245758616417e-09
-0.9250660032263394 2.8281349836067346e-09
-0.947227615066976 3.6951765205197815e-09
-0.9655993105292454 5.043731943944924e-09
-0.9801075833212882 7.3370671575743445e-09
-0.9906943849447265 1.2067014265480978e-08
-0.997317356950304 2.6595451662734032e-08
-0.9999500004166653 2.9794783372358977e-07
