#for d=250m lambda=500nm
#cos(delta)	rate
-0.9999500004166653 1.9909848762126636e-06
-0.9973173569503041 1.8788154120000337e-07
-0.9906943849447265 8.800611651325698e-08
-0.9801075833212882 5.486776327548572e-08
-0.9655993105292455 3.848960653220806e-08
-0.947227615066976 2.8787134141559364e-08
-0.9250660032263396 2.2404149143569727e-08
-0.8992031449894502 1.7950842993999807e-08
-0.8697425192545837 1.4687381451144669e-08
-0.8368019998106933 1.2222946079732047e-08
-0.8005133837170779 1.0316615779371559e-08
-0.761021863975181 8.816346046521561e-09
-0.7184854486023945 7.616553610908957e-09
-0.6730743284321941 6.645067821553621e-09
-0.6249701961700653 5.850069142630159e-09
-0.5743655194297347 5.193572255176569e-09
-0.5214627706583203 4.647248657059318e-09
-0.4664736170315242 4.189061651701552e-09
-0.409618073560152 3.803010230056413e-09
-0.3511236227964165 3.476111374678975e-09
-0.29122430466215643 3.1980678671074707e-09
-0.23015978004060472 2.960676873957631e-09
-0.16817437187834738 2.757430875022184e-09
-0.10551608763407413 2.5830802679118085e-09
-0.042435626985371115 2.433268826631089e-09
0.02081462123622329 2.304603037799103e-09
0.08398158886857213 2.1943088017897766e-09
0.1468125409603352 2.1000955492861026e-09
0.20905608697917072 2.0200036585228004e-09
0.27046318664082963 1.952474534722043e-09
0.3307881463347652 1.8961493308646073e-09
0.3897896021594906 1.8498542081499118e-09
0.4472314856345049 1.8125904711644357e-09
0.5028839682249094 1.7833963800748682e-09
0.556524380899617 1.7615310518973198e-09
0.6079381050439409 1.7461894188645817e-09
0.6569194311619719 1.7366269040285667e-09
0.7032723819330149 1.7321102734096185e-09
0.7468114963289934 1.7318818763888472e-09
0.7873625716555133 1.7352472398838774e-09
0.824763360547638 1.7414474060665968e-09
0.8588642201316464 1.7497303573765302e-09
0.8895287107554446 1.7593946113060978e-09
0.9166341418920663 1.7696900990887009e-09
0.9400720630320737 1.7799698325665475e-09
0.959748697600766 1.7895974466398434e-09
0.9755853181640639 1.7980325453788248e-09
0.9875185614218523 1.8047769141474033e-09
0.9955006817284698 1.809488190092319e-09
0.9994997421259953 1.8119109037553957e-09
0.9994997421259953 1.8119109037553957e-09
0.9955006817284698 1.809488190092319e-09
0.9875185614218523 1.8047769141474033e-09
0.975585318164064 1.7980325453788242e-09
0.9597486976007661 1.7895974466398434e-09
0.9400720630320738 1.7799698325665478e-09
0.9166341418920663 1.7696900990887009e-09
0.8895287107554446 1.7593946113060978e-09
0.8588642201316468 1.74973035737653e-09
0.8247633605476382 1.7414474060665968e-09
0.7873625716555136 1.7352472398838776e-09
0.7468114963289934 1.7318818763888472e-09
0.7032723819330152 1.7321102734096185e-09
0.6569194311619723 1.7366269040285671e-09
0.6079381050439413 1.7461894188645815e-09
0.5565243808996174 1.7615310518973202e-09
0.5028839682249094 1.7833963800748682e-09
0.44723148563450527 1.8125904711644346e-09
0.3897896021594906 1.8498542081499118e-09
0.33078814633476544 1.896149330864607e-09
0.27046318664083024 1.952474534722043e-09
0.20905608697917072 2.0200036585228004e-09
0.14681254096033564 2.100095549286101e-09
0.0839815888685719 2.1943088017897766e-09
0.02081462123622351 2.3046030377991023e-09
-0.04243562698537067 2.4332688266310875e-09
-0.10551608763407413 2.5830802679118085e-09
-0.16817437187834694 2.7574308750221833e-09
-0.23015978004060406 2.960676873957628e-09
-0.2912243046621562 3.1980678671074707e-09
-0.3511236227964161 3.4761113746789736e-09
-0.409618073560152 3.803010230056413e-09
-0.4664736170315242 4.189061651701552e-09
-0.5214627706583195 4.6472486570593124e-09
-0.5743655194297347 5.193572255176569e-09
-0.624970196170065 5.850069142630154e-09
-0.6730743284321941 6.645067821553621e-09
-0.7184854486023945 7.616553610908957e-09
-0.7610218639751803 8.816346046521546e-09
-0.8005133837170779 1.0316615779371559e-08
-0.836801999810693 1.2222946079732038e-08
-0.8697425192545837 1.4687381451144669e-08
-0.8992031449894502 1.7950842993999807e-08
-0.9250660032263394 2.2404149143569687e-08
-0.947227615066976 2.8787134141559364e-08
-0.9655993105292454 3.8489606532207996e-08
-0.9801075833212882 5.486776327548572e-08
-0.9906943849447265 8.800611651325698e-08
-0.997317356950304 1.8788154120000035e-07
-0.9999500004166653 1.9909848762126636e-06
