#for d=350m lambda=500nm
#cos(delta)	rate
-0.9999500004166653 8.544676654547476e-08
-0.9973173569503041 8.186479471960219e-09
-0.9906943849447265 3.89130391900125e-09
-0.9801075833212882 2.4455497447723182e-09
-0.9655993105292455 1.7177540984627122e-09
-0.947227615066976 1.2821424546180605e-09
-0.9250660032263396 9.945184652066914e-10
-0.8992031449894502 7.92944316457586e-10
-0.8697425192545837 6.459361342385439e-10
-0.8368019998106933 5.351449701173763e-10
-0.8005133837170779 4.4960903467979394e-10
-0.761021863975181 3.8248041282650063e-10
-0.7184854486023945 3.289916872735685e-10
-0.6730743284321941 2.8583602625729514e-10
-0.6249701961700653 2.5063524213182737e-10
-0.5743655194297347 2.2166360106108242e-10
-0.5214627706583203 1.97635671838572e-10
-0.4664736170315242 1.7756752600679236e-10
-0.409618073560152 1.6071060579236413e-10
-0.3511236227964165 1.4647480308538804e-10
-0.29122430466215643 1.3439790406684403e-10
-0.23015978004060472 1.241154470342768e-10
-0.16817437187834738 1.1533381624029361e-10
-0.10551608763407413 1.0781785946075647e-10
-0.042435626985371115 1.0137777367121734e-10
0.02081462123622329 9.586078178847762e-11
0.08398158886857213 9.113983442958351e-11
0.1468125409603352 8.711389383886736e-11
0.20905608697917072 8.369771406911558e-11
0.27046318664082963 8.082031070137864e-11
0.3307881463347652 7.842354499140104e-11
0.3897896021594906 7.645670062818264e-11
0.4472314856345049 7.48759388179991e-11
0.5028839682249094 7.364294848205275e-11
0.556524380899617 7.272217706190412e-11
0.6079381050439409 7.208014202992022e-11
0.6569194311619719 7.168536755583868e-11
0.7032723819330149 7.15062588563493e-11
0.7468114963289934 7.151147189701341e-11
0.7873625716555133 7.166971390177632e-11
0.824763360547638 7.194928544949801e-11
0.8588642201316464 7.231764990825806e-11
0.8895287107554446 7.274438711788869e-11
0.9166341418920663 7.319819415399282e-11
0.9400720630320737 7.364987677121637e-11
0.959748697600766 7.407288271601712e-11
0.9755853181640639 7.444235990826165e-11
0.9875185614218523 7.473861795211583e-11
0.9955006817284698 7.494487190176448e-11
0.9994997421259953 7.505110853277803e-11
0.9994997421259953 7.505110853277803e-11
0.9955006817284698 7.494487190176448e-11
0.9875185614218523 7.473861795211583e-11
0.975585318164064 7.444235990826166e-11
0.9597486976007661 7.407288271601713e-11
0.9400720630320738 7.364987677121637e-11
0.9166341418920663 7.319819415399282e-11
0.8895287107554446 7.274438711788869e-11
0.8588642201316468 7.231764990825806e-11
0.8247633605476382 7.194928544949799e-11
0.7873625716555136 7.166971390177633e-11
0.7468114963289934 7.151147189701341e-11
0.7032723819330152 7.150625885634928e-11
0.6569194311619723 7.168536755583869e-11
0.6079381050439413 7.208014202992024e-11
0.5565243808996174 7.272217706190413e-11
0.5028839682249094 7.364294848205275e-11
0.44723148563450527 7.48759388179991e-11
0.3897896021594906 7.645670062818264e-11
0.33078814633476544 7.842354499140095e-11
0.27046318664083024 8.082031070137864e-11
0.20905608697917072 8.369771406911558e-11
0.14681254096033564 8.711389383886733e-11
0.0839815888685719 9.113983442958351e-11
0.02081462123622351 9.586078178847759e-11
-0.04243562698537067 1.0137777367121733e-10
-0.10551608763407413 1.0781785946075647e-10
-0.16817437187834694 1.1533381624029351e-10
-0.23015978004060406 1.2411544703427668e-10
-0.2912243046621562 1.3439790406684403e-10
-0.3511236227964161 1.4647480308538786e-10
-0.409618073560152 1.6071060579236413e-10
-0.4664736170315242 1.7756752600679236e-10
-0.5214627706583195 1.9763567183857179e-10
-0.5743655194297347 2.2166360106108242e-10
-0.624970196170065 2.506352421318272e-10
-0.6730743284321941 2.8583602625729514e-10
-0.7184854486023945 3.289916872735685e-10
-0.7610218639751803 3.8248041282649975e-10
-0.8005133837170779 4.4960903467979394e-10
-0.836801999810693 5.351449701173755e-10
-0.8697425192545837 6.459361342385439e-10
-0.8992031449894502 7.92944316457586e-10
-0.9250660032263394 9.945184652066896e-10
-0.947227615066976 1.2821424546180605e-09
-0.9655993105292454 1.7177540984627107e-09
-0.9801075833212882 2.4455497447723182e-09
-0.9906943849447265 3.89130391900125e-09
-0.997317356950304 8.186479471960081e-09
-0.9999500004166653 8.544676654547476e-08
