# #for lambda=350.0nm
# #Distance	rate
1.000000000000000000e+02 1.454807290409673937e+06
1.025252525252525260e+02 1.228978326407621382e+06
1.050505050505050519e+02 1.039244362872179481e+06
1.075757575757575779e+02 8.798612622259220807e+05
1.101010101010101039e+02 7.455210815626019612e+05
1.126262626262626299e+02 6.322624126067002071e+05
1.151515151515151558e+02 5.366853324206764810e+05
1.176767676767676676e+02 4.559695971003112500e+05
1.202020202020202078e+02 3.877193627097653807e+05
1.227272727272727195e+02 3.299350925851538777e+05
1.252525252525252597e+02 2.809685140689607942e+05
1.277777777777777715e+02 2.394692671680386993e+05
1.303030303030303116e+02 2.042231490328705404e+05
1.328282828282828234e+02 1.742757083928243665e+05
1.353535353535353352e+02 1.488372350803419249e+05
1.378787878787878753e+02 1.271745501427572162e+05
1.404040404040404155e+02 1.087351141049980361e+05
1.429292929292929273e+02 9.303039472494495567e+04
1.454545454545454390e+02 7.963421905330817390e+04
1.479797979797979792e+02 6.820472562968119746e+04
1.505050505050505194e+02 5.845074675915214175e+04
1.530303030303030312e+02 5.011069479501134629e+04
1.555555555555555429e+02 4.298695614419908816e+04
1.580808080808080831e+02 3.688998599925923190e+04
1.606060606060605949e+02 3.167512524259657221e+04
1.631313131313131350e+02 2.721070143059416660e+04
1.656565656565656468e+02 2.338430103226481879e+04
1.681818181818181870e+02 2.010421380142931230e+04
1.707070707070706987e+02 1.729133749129347416e+04
1.732323232323232105e+02 1.487856983863084315e+04
1.757575757575757507e+02 1.280675942550389664e+04
1.782828282828282909e+02 1.102874999061136987e+04
1.808080808080808026e+02 9.500833187610342065e+03
1.833333333333333144e+02 8.187483770256200842e+03
1.858585858585858546e+02 7.058199088199906328e+03
1.883838383838383947e+02 6.086398127985266001e+03
1.909090909090909065e+02 5.250238745128027404e+03
1.934343434343434183e+02 4.530573454725311421e+03
1.959595959595959584e+02 3.910556536823276474e+03
1.984848484848484986e+02 3.376572377654803859e+03
2.010101010101010104e+02 2.916265476895659049e+03
2.035353535353535221e+02 2.519546118643161208e+03
2.060606060606060623e+02 2.177431129634509034e+03
2.085858585858585741e+02 1.882250704373565895e+03
2.111111111111110858e+02 1.627542053302129261e+03
2.136363636363636260e+02 1.407689288887927887e+03
2.161616161616161662e+02 1.217859756936994700e+03
2.186868686868686780e+02 1.053883221413837873e+03
2.212121212121211897e+02 9.122351834529788448e+02
2.237373737373737299e+02 7.897853007653296800e+02
2.262626262626262701e+02 6.839464787297079056e+02
2.287878787878787818e+02 5.924280265911635297e+02
2.313131313131312936e+02 5.132709620090544149e+02
2.338383838383838338e+02 4.447961041315713260e+02
2.363636363636363455e+02 3.855376908618715674e+02
2.388888888888888857e+02 3.342408338339810712e+02
2.414141414141413975e+02 2.898306813788671548e+02
2.439393939393939377e+02 2.513787775094744461e+02
2.464646464646464494e+02 2.180743329038839988e+02
2.489898989898989896e+02 1.892123281942098174e+02
2.515151515151515014e+02 1.642073734265866563e+02
2.540404040404040416e+02 1.425328298956699768e+02
2.565656565656565817e+02 1.237395560577750473e+02
2.590909090909091219e+02 1.074464129639805634e+02
2.616161616161616053e+02 9.331558172525772932e+01
2.641414141414140886e+02 8.105849664056873394e+01
2.666666666666666288e+02 7.042088730121828632e+01
2.691919191919191690e+02 6.119038373327543212e+01
2.717171717171717091e+02 5.318063484675651864e+01
2.742424242424242493e+02 4.622468207024054720e+01
2.767676767676767895e+02 4.018549879472711694e+01
2.792929292929292728e+02 3.494171579366757641e+01
2.818181818181818130e+02 3.038688261178263872e+01
2.843434343434342964e+02 2.642996346814477349e+01
2.868686868686868365e+02 2.299130213813525714e+01
2.893939393939393767e+02 2.000293144673629087e+01
2.919191919191919169e+02 1.740521949727584072e+01
2.944444444444444571e+02 1.514750138968193305e+01
2.969696969696969973e+02 1.318412079412398974e+01
2.994949494949494806e+02 1.147690034106273771e+01
3.020202020202020208e+02 9.991981673332460900e+00
3.045454545454545041e+02 8.700341872720946057e+00
3.070707070707070443e+02 7.576778893326252096e+00
3.095959595959595845e+02 6.599069911857808002e+00
3.121212121212121247e+02 5.748393262510238522e+00
3.146464646464646648e+02 5.008019749269924326e+00
3.171717171717171482e+02 4.363454060909941035e+00
3.196969696969696884e+02 3.802288864635315679e+00
3.222222222222221717e+02 3.313685411655054036e+00
3.247474747474747119e+02 2.888197447424707853e+00
3.272727272727272521e+02 2.517675535462299496e+00
3.297979797979797922e+02 2.194911927701713061e+00
3.323232323232323324e+02 1.913739782051655736e+00
3.348484848484848726e+02 1.668777764258682961e+00
3.373737373737373559e+02 1.455369144201647869e+00
3.398989898989898961e+02 1.269363257189502825e+00
3.424242424242423795e+02 1.107231339577204654e+00
3.449494949494949196e+02 9.659206173090570946e-01
3.474747474747474598e+02 8.427220853608261564e-01
3.500000000000000000e+02 7.353221990402968311e-01
