# #for lambda=400.0nm
# #Distance	rate
1.000000000000000000e+02 2.184861698301448300e+07
1.025252525252525260e+02 1.969802809165791422e+07
1.050505050505050519e+02 1.777498446366164833e+07
1.075757575757575779e+02 1.605659648966363072e+07
1.101010101010101039e+02 1.451572460224660672e+07
1.126262626262626299e+02 1.313323846572444029e+07
1.151515151515151558e+02 1.189179089783104882e+07
1.176767676767676676e+02 1.077719872619680315e+07
1.202020202020202078e+02 9.774197996152656153e+06
1.227272727272727195e+02 8.871396139956070110e+06
1.252525252525252597e+02 8.056913987904439680e+06
1.277777777777777715e+02 7.322753616595011204e+06
1.303030303030303116e+02 6.659586077936288901e+06
1.328282828282828234e+02 6.059468548462050036e+06
1.353535353535353352e+02 5.518031393910819665e+06
1.378787878787878753e+02 5.026893660383976996e+06
1.404040404040404155e+02 4.582411200698861852e+06
1.429292929292929273e+02 4.179738962357539684e+06
1.454545454545454390e+02 3.814189774743996095e+06
1.479797979797979792e+02 3.482374084916115273e+06
1.505050505050505194e+02 3.181370335274669342e+06
1.530303030303030312e+02 2.907220038911770564e+06
1.555555555555555429e+02 2.658273227296848781e+06
1.580808080808080831e+02 2.431443410593500827e+06
1.606060606060605949e+02 2.225189777162376791e+06
1.631313131313131350e+02 2.037362254498116439e+06
1.656565656565656468e+02 1.865908079382459866e+06
1.681818181818181870e+02 1.709650357822383055e+06
1.707070707070706987e+02 1.567024960175487446e+06
1.732323232323232105e+02 1.436921444796217605e+06
1.757575757575757507e+02 1.317997838389029028e+06
1.782828282828282909e+02 1.209494379054795252e+06
1.808080808080808026e+02 1.110252708163967123e+06
1.833333333333333144e+02 1.019504910711627570e+06
1.858585858585858546e+02 9.364810366732799448e+05
1.883838383838383947e+02 8.604419211433760356e+05
1.909090909090909065e+02 7.908507179059414193e+05
1.934343434343434183e+02 7.271380344133600593e+05
1.959595959595959584e+02 6.687032523941989057e+05
1.984848484848484986e+02 6.151938099959597457e+05
2.010101010101010104e+02 5.660808058722444111e+05
2.035353535353535221e+02 5.210552972291972255e+05
2.060606060606060623e+02 4.797686206041024416e+05
2.085858585858585741e+02 4.418423746904762811e+05
2.111111111111110858e+02 4.070148279300473514e+05
2.136363636363636260e+02 3.750280008125719614e+05
2.161616161616161662e+02 3.456461815308894729e+05
2.186868686868686780e+02 3.186335635410549585e+05
2.212121212121211897e+02 2.938115857449175674e+05
2.237373737373737299e+02 2.709762949659384321e+05
2.262626262626262701e+02 2.499840619861354353e+05
2.287878787878787818e+02 2.306597926604529493e+05
2.313131313131312936e+02 2.128779466254086583e+05
2.338383838383838338e+02 1.965071448157886043e+05
2.363636363636363455e+02 1.814344490479074884e+05
2.388888888888888857e+02 1.675474987635102007e+05
2.414141414141413975e+02 1.547537100780982000e+05
2.439393939393939377e+02 1.429746226982764783e+05
2.464646464646464494e+02 1.321148550685973023e+05
2.489898989898989896e+02 1.220960628206652182e+05
2.515151515151515014e+02 1.128612387046816148e+05
2.540404040404040416e+02 1.043459981275951723e+05
2.565656565656565817e+02 9.648512698452804761e+04
2.590909090909091219e+02 8.923679256782727316e+04
2.616161616161616053e+02 8.254796943122842640e+04
2.641414141414140886e+02 7.637232813453476410e+04
2.666666666666666288e+02 7.066646107515174663e+04
2.691919191919191690e+02 6.539874789795996185e+04
2.717171717171717091e+02 6.053783762325478165e+04
2.742424242424242493e+02 5.604175640565041977e+04
2.767676767676767895e+02 5.188881639736975922e+04
2.792929292929292728e+02 4.805281955390064832e+04
2.818181818181818130e+02 4.450620932413585979e+04
2.843434343434342964e+02 4.122759557034700993e+04
2.868686868686868365e+02 3.819533774123214971e+04
2.893939393939393767e+02 3.539187627802044881e+04
2.919191919191919169e+02 3.279717507365722849e+04
2.944444444444444571e+02 3.039826645025674225e+04
2.969696969696969973e+02 2.817765036677997705e+04
2.994949494949494806e+02 2.612286844955566994e+04
3.020202020202020208e+02 2.422072033486275541e+04
3.045454545454545041e+02 2.245951421760263474e+04
3.070707070707070443e+02 2.082984251075310385e+04
3.095959595959595845e+02 1.932035931987591903e+04
3.121212121212121247e+02 1.792319175466869274e+04
3.146464646464646648e+02 1.662938469554169205e+04
3.171717171717171482e+02 1.542994332811258209e+04
3.196969696969696884e+02 1.431870761635165218e+04
3.222222222222221717e+02 1.328888027999364749e+04
3.247474747474747119e+02 1.233432746695603964e+04
3.272727272727272521e+02 1.145014548822966208e+04
3.297979797979797922e+02 1.063031384156904278e+04
3.323232323232323324e+02 9.870096970752278139e+03
3.348484848484848726e+02 9.165468750265765266e+03
3.373737373737373559e+02 8.512232022782227432e+03
3.398989898989898961e+02 7.906161902446202475e+03
3.424242424242423795e+02 7.343758851766598127e+03
3.449494949494949196e+02 6.822190408485108492e+03
3.474747474747474598e+02 6.338223927531424124e+03
3.500000000000000000e+02 5.889281852318129495e+03
