# #for lambda=550.0nm
# #Distance	rate
1.000000000000000000e+02 8.170038905801847022e+02
1.025252525252525260e+02 6.643823670333994187e+02
1.050505050505050519e+02 5.408625619903407369e+02
1.075757575757575779e+02 4.408095610192112872e+02
1.101010101010101039e+02 3.595663383728279427e+02
1.126262626262626299e+02 2.935740883797875540e+02
1.151515151515151558e+02 2.399083403146541684e+02
1.176767676767676676e+02 1.962306035316297823e+02
1.202020202020202078e+02 1.606428506008088846e+02
1.227272727272727195e+02 1.316133445652014871e+02
1.252525252525252597e+02 1.079077019271225737e+02
1.277777777777777715e+02 8.854637017626869522e+01
1.303030303030303116e+02 7.270281763885725468e+01
1.328282828282828234e+02 5.973502624125855931e+01
1.353535353535353352e+02 4.911620785592835148e+01
1.378787878787878753e+02 4.040678391483913856e+01
1.404040404040404155e+02 3.326309302863715800e+01
1.429292929292929273e+02 2.740065229465836083e+01
1.454545454545454390e+02 2.258339015364448699e+01
1.479797979797979792e+02 1.862326033242320378e+01
1.505050505050505194e+02 1.536629782183293358e+01
1.530303030303030312e+02 1.268424214626877067e+01
1.555555555555555429e+02 1.047675391871223205e+01
1.580808080808080831e+02 8.656830275146065290e+00
1.606060606060605949e+02 7.156948774681036518e+00
1.631313131313131350e+02 5.919821566866237283e+00
1.656565656565656468e+02 4.898500898267276860e+00
1.681818181818181870e+02 4.055037087423452036e+00
1.707070707070706987e+02 3.358191488538060376e+00
1.732323232323232105e+02 2.782329667445893939e+00
1.757575757575757507e+02 2.306001326178801492e+00
1.782828282828282909e+02 1.912139995758736832e+00
1.808080808080808026e+02 1.586102163634972584e+00
1.833333333333333144e+02 1.316126095672978336e+00
1.858585858585858546e+02 1.092497778872192793e+00
1.883838383838383947e+02 9.071245281725411891e-01
1.909090909090909065e+02 7.534800136977642948e-01
1.934343434343434183e+02 6.260702229410344266e-01
1.959595959595959584e+02 5.203454234570332737e-01
1.984848484848484986e+02 4.326141972170673422e-01
2.010101010101010104e+02 3.597797477052061543e-01
2.035353535353535221e+02 2.993073960072785700e-01
2.060606060606060623e+02 2.490698371060779681e-01
2.085858585858585741e+02 2.073189977026805575e-01
2.111111111111110858e+02 1.726167776122309316e-01
2.136363636363636260e+02 1.437627765041820105e-01
2.161616161616161662e+02 1.197642905469731567e-01
2.186868686868686780e+02 9.979637563935982170e-02
2.212121212121211897e+02 8.318041323612426763e-02
2.237373737373737299e+02 6.934513478872382508e-02
2.262626262626262701e+02 5.782568554399302591e-02
2.287878787878787818e+02 4.823119166517800260e-02
2.313131313131312936e+02 4.023770389801439168e-02
2.338383838383838338e+02 3.357706547704119443e-02
2.363636363636363455e+02 2.802502938290592910e-02
2.388888888888888857e+02 2.339568199525893927e-02
2.414141414141413975e+02 1.953524262582464685e-02
2.439393939393939377e+02 1.631546646319296731e-02
2.464646464646464494e+02 1.362927584368279869e-02
2.489898989898989896e+02 1.138722599683522282e-02
2.515151515151515014e+02 9.516142686257252417e-03
2.540404040404040416e+02 7.953936561069260489e-03
2.565656565656565817e+02 6.649325714880623649e-03
2.590909090909091219e+02 5.559826199380358061e-03
2.616161616161616053e+02 4.649681697583376606e-03
2.641414141414140886e+02 3.889285836693410440e-03
2.666666666666666288e+02 3.253693683072045751e-03
2.691919191919191690e+02 2.722461751634967612e-03
2.717171717171717091e+02 2.278420726099579952e-03
2.742424242424242493e+02 1.907039014897913979e-03
2.767676767676767895e+02 1.596466250822049272e-03
2.792929292929292728e+02 1.336714770761684209e-03
2.818181818181818130e+02 1.119402399370038586e-03
2.843434343434342964e+02 9.375677649760234345e-04
2.868686868686868365e+02 7.853724697956982219e-04
2.893939393939393767e+02 6.579745726120187540e-04
2.919191919191919169e+02 5.513183802173765406e-04
2.944444444444444571e+02 4.620294476561058461e-04
2.969696969696969973e+02 3.872463558063831074e-04
2.994949494949494806e+02 3.246148965162235964e-04
3.020202020202020208e+02 2.721474313213249376e-04
3.045454545454545041e+02 2.281909447336699789e-04
3.070707070707070443e+02 1.913617372731183969e-04
3.095959595959595845e+02 1.604963297200942345e-04
3.121212121212121247e+02 1.346284427808010643e-04
3.146464646464646648e+02 1.129440587492253143e-04
3.171717171717171482e+02 9.476285186170832801e-05
3.196969696969696884e+02 7.951760132722708466e-05
3.222222222222221717e+02 6.673296650742144309e-05
3.247474747474747119e+02 5.601028520871483425e-05
3.272727272727272521e+02 4.701655845445188364e-05
3.297979797979797922e+02 3.947113454270921720e-05
3.323232323232323324e+02 3.314037153560771748e-05
3.348484848484848726e+02 2.782815046849198396e-05
3.373737373737373559e+02 2.337056335687786576e-05
3.398989898989898961e+02 1.962879502920864081e-05
3.424242424242423795e+02 1.648767068114380372e-05
3.449494949494949196e+02 1.385079905925189965e-05
3.474747474747474598e+02 1.163673548937955906e-05
3.500000000000000000e+02 9.777707155106681483e-06
