#for d=350m lambda=500nm
#cos(delta)	rate
-0.9999500004166653 6.588087113859069e-08
-0.9973173569503041 5.87992939195785e-09
-0.9906943849447265 2.6592107708231666e-09
-0.9801075833212882 1.6137960873545992e-09
-0.9655993105292455 1.1038812794810612e-09
-0.947227615066976 8.068340973324776e-10
-0.9250660032263396 6.151752751367598e-10
-0.8992031449894502 4.835367346495486e-10
-0.8697425192545837 3.8920879307244863e-10
-0.8368019998106933 3.1919246932874883e-10
-0.8005133837170779 2.658501658931028e-10
-0.761021863975181 2.244694329479451e-10
-0.7184854486023945 1.918290736091655e-10
-0.6730743284321941 1.6572641562847385e-10
-0.6249701961700653 1.445986358838308e-10
-0.5743655194297347 1.2732648915388697e-10
-0.5214627706583203 1.130859549529134e-10
-0.4664736170315242 1.012538164675167e-10
-0.409618073560152 9.136021697498533e-11
-0.3511236227964165 8.303830692387452e-11
-0.29122430466215643 7.600319383664495e-11
-0.23015978004060472 7.003170919027593e-11
-0.16817437187834738 6.494542455689243e-11
-0.10551608763407413 6.060219406270135e-11
-0.042435626985371115 5.68878977709823e-11
0.02081462123622329 5.371102859965381e-11
0.08398158886857213 5.099587351678474e-11
0.1468125409603352 4.868235016219644e-11
0.20905608697917072 4.671996899240441e-11
0.27046318664082963 4.506685947589083e-11
0.3307881463347652 4.368876860011682e-11
0.3897896021594906 4.255597116168248e-11
0.4472314856345049 4.1642867166605296e-11
0.5028839682249094 4.092721746797649e-11
0.556524380899617 4.03884746700234e-11
0.6079381050439409 4.0007418403377665e-11
0.6569194311619719 3.9766074135491e-11
0.7032723819330149 3.964652279478844e-11
0.7468114963289934 3.9631081693508613e-11
0.7873625716555133 3.9702178456686144e-11
0.824763360547638 3.984208781090443e-11
0.8588642201316464 4.003267998808858e-11
0.8895287107554446 4.0257038796049116e-11
0.9166341418920663 4.049780378308546e-11
0.9400720630320737 4.0738816498970714e-11
0.959748697600766 4.0965383496588664e-11
0.9755853181640639 4.116378474517794e-11
0.9875185614218523 4.1323147511409635e-11
0.9955006817284698 4.143421411155916e-11
0.9994997421259953 4.149146367745852e-11
0.9994997421259953 4.1491463677458526e-11
0.9955006817284698 4.143421411155916e-11
0.9875185614218523 4.1323147511409635e-11
0.975585318164064 4.1163784745177956e-11
0.9597486976007661 4.0965383496588664e-11
0.9400720630320738 4.073881649897073e-11
0.9166341418920663 4.049780378308546e-11
0.8895287107554446 4.0257038796049116e-11
0.8588642201316468 4.003267998808858e-11
0.8247633605476382 3.9842087810904417e-11
0.7873625716555136 3.970217845668615e-11
0.7468114963289934 3.9631081693508613e-11
0.7032723819330152 3.964652279478844e-11
0.6569194311619723 3.976607413549102e-11
0.6079381050439413 4.0007418403377665e-11
0.5565243808996174 4.038847467002341e-11
0.5028839682249094 4.092721746797649e-11
0.44723148563450527 4.1642867166605296e-11
0.3897896021594906 4.255597116168248e-11
0.33078814633476544 4.368876860011678e-11
0.27046318664083024 4.506685947589084e-11
0.20905608697917072 4.671996899240441e-11
0.14681254096033564 4.868235016219643e-11
0.0839815888685719 5.099587351678474e-11
0.02081462123622351 5.37110285996538e-11
-0.04243562698537067 5.6887897770982276e-11
-0.10551608763407413 6.060219406270135e-11
-0.16817437187834694 6.494542455689236e-11
-0.23015978004060406 7.003170919027585e-11
-0.2912243046621562 7.600319383664493e-11
-0.3511236227964161 8.303830692387442e-11
-0.409618073560152 9.136021697498533e-11
-0.4664736170315242 1.012538164675167e-10
-0.5214627706583195 1.130859549529133e-10
-0.5743655194297347 1.2732648915388697e-10
-0.624970196170065 1.4459863588383066e-10
-0.6730743284321941 1.6572641562847385e-10
-0.7184854486023945 1.918290736091655e-10
-0.7610218639751803 2.2446943294794455e-10
-0.8005133837170779 2.658501658931028e-10
-0.836801999810693 3.191924693287483e-10
-0.8697425192545837 3.8920879307244863e-10
-0.8992031449894502 4.835367346495486e-10
-0.9250660032263394 6.151752751367589e-10
-0.947227615066976 8.068340973324776e-10
-0.9655993105292454 1.1038812794810604e-09
-0.9801075833212882 1.6137960873545992e-09
-0.9906943849447265 2.6592107708231666e-09
-0.997317356950304 5.879929391957746e-09
-0.9999500004166653 6.588087113859069e-08
