#for d=200m lambda=500nm
#cos(delta)	rate
-0.9999500004166653 1.0202469473002366e-05
-0.9973173569503041 9.68744184670079e-07
-0.9906943849447265 4.491127632269596e-07
-0.9801075833212882 2.7851769381140534e-07
-0.9655993105292455 1.953007959609257e-07
-0.947227615066976 1.4632546089772116e-07
-0.9250660032263396 1.1429214738458101e-07
-0.8992031449894502 9.188529298206251e-08
-0.8697425192545837 7.549817079094037e-08
-0.8368019998106933 6.314500199643948e-08
-0.8005133837170779 5.349803034990578e-08
-0.761021863975181 4.5882860698381454e-08
-0.7184854486023945 3.9778506269769634e-08
-0.6730743284321941 3.482372360488583e-08
-0.6249701961700653 3.0757798679805004e-08
-0.5743655194297347 2.739165275823791e-08
-0.5214627706583203 2.458272868003099e-08
-0.4664736170315242 2.2223502096108565e-08
-0.409618073560152 2.023041947878052e-08
-0.3511236227964165 1.853771929337808e-08
-0.29122430466215643 1.7094670128164932e-08
-0.23015978004060472 1.585986552139855e-08
-0.16817437187834738 1.480019187013025e-08
-0.10551608763407413 1.3889186603004108e-08
-0.042435626985371115 1.3105485002508154e-08
0.02081462123622329 1.2431595450431812e-08
0.08398158886857213 1.1852994718819939e-08
0.1468125409603352 1.1357948803461442e-08
0.20905608697917072 1.0936734653258158e-08
0.27046318664082963 1.0581196379621393e-08
0.3307881463347652 1.0284263085261328e-08
0.3897896021594906 1.0039447426800088e-08
0.4472314856345049 9.841853092416318e-09
0.5028839682249094 9.687156457983963e-09
0.556524380899617 9.570923948820985e-09
0.6079381050439409 9.489053588821207e-09
0.6569194311619719 9.437552565188381e-09
0.7032723819330149 9.412618245215175e-09
0.7468114963289934 9.410394001926477e-09
0.7873625716555133 9.427115357794933e-09
0.824763360547638 9.458650107095047e-09
0.8588642201316464 9.501294717521548e-09
0.8895287107554446 9.551186446922416e-09
0.9166341418920663 9.604531058512541e-09
0.9400720630320737 9.657810115114942e-09
0.959748697600766 9.707813233042376e-09
0.9755853181640639 9.75153557512128e-09
0.9875185614218523 9.786580190304883e-09
0.9955006817284698 9.81108867563121e-09
0.9994997421259953 9.823624022803019e-09
0.9994997421259953 9.823624022803019e-09
0.9955006817284698 9.81108867563121e-09
0.9875185614218523 9.786580190304883e-09
0.975585318164064 9.75153557512128e-09
0.9597486976007661 9.707813233042378e-09
0.9400720630320738 9.657810115114944e-09
0.9166341418920663 9.604531058512541e-09
0.8895287107554446 9.551186446922416e-09
0.8588642201316468 9.50129471752155e-09
0.8247633605476382 9.458650107095047e-09
0.7873625716555136 9.427115357794935e-09
0.7468114963289934 9.410394001926477e-09
0.7032723819330152 9.412618245215175e-09
0.6569194311619723 9.437552565188385e-09
0.6079381050439413 9.489053588821202e-09
0.5565243808996174 9.570923948820985e-09
0.5028839682249094 9.687156457983963e-09
0.44723148563450527 9.84185309241632e-09
0.3897896021594906 1.0039447426800088e-08
0.33078814633476544 1.0284263085261328e-08
0.27046318664083024 1.0581196379621392e-08
0.20905608697917072 1.0936734653258158e-08
0.14681254096033564 1.1357948803461437e-08
0.0839815888685719 1.1852994718819939e-08
0.02081462123622351 1.2431595450431812e-08
-0.04243562698537067 1.3105485002508149e-08
-0.10551608763407413 1.3889186603004108e-08
-0.16817437187834694 1.4800191870130244e-08
-0.23015978004060406 1.5859865521398537e-08
-0.2912243046621562 1.7094670128164932e-08
-0.3511236227964161 1.8537719293378067e-08
-0.409618073560152 2.023041947878052e-08
-0.4664736170315242 2.2223502096108565e-08
-0.5214627706583195 2.4582728680030944e-08
-0.5743655194297347 2.739165275823791e-08
-0.624970196170065 3.075779867980497e-08
-0.6730743284321941 3.482372360488583e-08
-0.7184854486023945 3.9778506269769634e-08
-0.7610218639751803 4.588286069838136e-08
-0.8005133837170779 5.349803034990578e-08
-0.836801999810693 6.314500199643939e-08
-0.8697425192545837 7.549817079094037e-08
-0.8992031449894502 9.188529298206251e-08
-0.9250660032263394 1.142921473845808e-07
-0.947227615066976 1.4632546089772116e-07
-0.9655993105292454 1.9530079596092535e-07
-0.9801075833212882 2.7851769381140534e-07
-0.9906943849447265 4.491127632269596e-07
-0.997317356950304 9.687441846700627e-07
-0.9999500004166653 1.0202469473002366e-05
