#for d=250m lambda=500nm
#cos(delta)	rate
-0.9999500004166653 1.390583558940873e-06
-0.9973173569503041 1.2545302158057055e-07
-0.9906943849447265 5.682663794533687e-08
-0.9801075833212882 3.457807158996328e-08
-0.9655993105292455 2.38112488290447e-08
-0.947227615066976 1.7550208529841385e-08
-0.9250660032263396 1.3495465183256948e-08
-0.8992031449894502 1.0704758694996836e-08
-0.8697425192545837 8.684133282344794e-09
-0.8368019998106933 7.174452071693509e-09
-0.8005133837170779 6.017185961294558e-09
-0.761021863975181 5.113769475776525e-09
-0.7184854486023945 4.396438064318431e-09
-0.6730743284321941 3.819264088620253e-09
-0.6249701961700653 3.3495768665530617e-09
-0.5743655194297347 2.9636291722689145e-09
-0.5214627706583203 2.643853123656854e-09
-0.4664736170315242 2.3766959942110317e-09
-0.409618073560152 2.152364821002197e-09
-0.3511236227964165 1.9629786765940393e-09
-0.29122430466215643 1.8023271297672212e-09
-0.23015978004060472 1.6654827905112966e-09
-0.16817437187834738 1.5485585688110587e-09
-0.10551608763407413 1.44843181532912e-09
-0.042435626985371115 1.3625209551033355e-09
0.02081462123622329 1.2888213775131459e-09
0.08398158886857213 1.225698407645436e-09
0.1468125409603352 1.1718061191184689e-09
0.20905608697917072 1.1259980067206096e-09
0.27046318664082963 1.0873616116959614e-09
0.3307881463347652 1.0551050764336487e-09
0.3897896021594906 1.0285464132516545e-09
0.4472314856345049 1.0071064325178922e-09
0.5028839682249094 9.902304354127348e-10
0.556524380899617 9.774937722764268e-10
0.6079381050439409 9.68437008022435e-10
0.6569194311619719 9.626368164733097e-10
0.7032723819330149 9.59679215734339e-10
0.7468114963289934 9.591384225076959e-10
0.7873625716555133 9.606252921400818e-10
0.824763360547638 9.63716450188298e-10
0.8588642201316464 9.679936992611443e-10
0.8895287107554446 9.730676083693943e-10
0.9166341418920663 9.785228506020728e-10
0.9400720630320737 9.840016246115134e-10
0.959748697600766 9.891524801767368e-10
0.9755853181640639 9.93677193976929e-10
0.9875185614218523 9.973011006268596e-10
0.9955006817284698 9.99835422482309e-10
0.9994997421259953 1.0011395749548885e-09
0.9994997421259953 1.0011395749548887e-09
0.9955006817284698 9.99835422482309e-10
0.9875185614218523 9.973011006268596e-10
0.975585318164064 9.936771939769284e-10
0.9597486976007661 9.89152480176737e-10
0.9400720630320738 9.840016246115134e-10
0.9166341418920663 9.785228506020728e-10
0.8895287107554446 9.730676083693943e-10
0.8588642201316468 9.679936992611445e-10
0.8247633605476382 9.63716450188298e-10
0.7873625716555136 9.606252921400818e-10
0.7468114963289934 9.591384225076959e-10
0.7032723819330152 9.596792157343392e-10
0.6569194311619723 9.626368164733097e-10
0.6079381050439413 9.68437008022435e-10
0.5565243808996174 9.774937722764273e-10
0.5028839682249094 9.902304354127348e-10
0.44723148563450527 1.0071064325178917e-09
0.3897896021594906 1.0285464132516545e-09
0.33078814633476544 1.0551050764336485e-09
0.27046318664083024 1.0873616116959614e-09
0.20905608697917072 1.1259980067206096e-09
0.14681254096033564 1.1718061191184676e-09
0.0839815888685719 1.225698407645436e-09
0.02081462123622351 1.2888213775131454e-09
-0.04243562698537067 1.362520955103335e-09
-0.10551608763407413 1.44843181532912e-09
-0.16817437187834694 1.548558568811058e-09
-0.23015978004060406 1.6654827905112952e-09
-0.2912243046621562 1.8023271297672212e-09
-0.3511236227964161 1.962978676594039e-09
-0.409618073560152 2.152364821002197e-09
-0.4664736170315242 2.3766959942110317e-09
-0.5214627706583195 2.6438531236568513e-09
-0.5743655194297347 2.9636291722689145e-09
-0.624970196170065 3.3495768665530584e-09
-0.6730743284321941 3.819264088620253e-09
-0.7184854486023945 4.396438064318431e-09
-0.7610218639751803 5.113769475776517e-09
-0.8005133837170779 6.017185961294558e-09
-0.836801999810693 7.174452071693501e-09
-0.8697425192545837 8.684133282344794e-09
-0.8992031449894502 1.0704758694996836e-08
-0.9250660032263394 1.349546518325692e-08
-0.947227615066976 1.7550208529841385e-08
-0.9655993105292454 2.3811248829044654e-08
-0.9801075833212882 3.457807158996328e-08
-0.9906943849447265 5.682663794533687e-08
-0.997317356950304 1.2545302158056843e-07
-0.9999500004166653 1.390583558940873e-06
