# #for lambda=450.0nm
# #Distance	rate
1.000000000000000000e+02 3.656223113786514848e+07
1.025252525252525260e+02 3.372238203274694830e+07
1.050505050505050519e+02 3.113024020367546380e+07
1.075757575757575779e+02 2.876510640403423458e+07
1.101010101010101039e+02 2.659829295856362209e+07
1.126262626262626299e+02 2.461404415759823471e+07
1.151515151515151558e+02 2.279493437747308612e+07
1.176767676767676676e+02 2.112704516685181484e+07
1.202020202020202078e+02 1.959376135804791749e+07
1.227272727272727195e+02 1.818646947697762027e+07
1.252525252525252597e+02 1.688910734587359801e+07
1.277777777777777715e+02 1.569523044608435780e+07
1.303030303030303116e+02 1.459479022903504409e+07
1.328282828282828234e+02 1.357685226828627661e+07
1.353535353535353352e+02 1.264074699394562282e+07
1.378787878787878753e+02 1.177290885633745790e+07
1.404040404040404155e+02 1.097153759222259931e+07
1.429292929292929273e+02 1.023034831447029114e+07
1.454545454545454390e+02 9.543345064816946164e+06
1.479797979797979792e+02 8.906707584654541686e+06
1.505050505050505194e+02 8.317370762499505654e+06
1.530303030303030312e+02 7.769069189052061178e+06
1.555555555555555429e+02 7.261009386940789409e+06
1.580808080808080831e+02 6.788203017445002683e+06
1.606060606060605949e+02 6.349476356153929606e+06
1.631313131313131350e+02 5.941704094718711451e+06
1.656565656565656468e+02 5.561451717877277173e+06
1.681818181818181870e+02 5.207885188180699944e+06
1.707070707070706987e+02 4.878285557705879211e+06
1.732323232323232105e+02 4.571504251499240287e+06
1.757575757575757507e+02 4.285120300595102832e+06
1.782828282828282909e+02 4.018576263446690049e+06
1.808080808080808026e+02 3.769541815755654126e+06
1.833333333333333144e+02 3.537163190851288848e+06
1.858585858585858546e+02 3.320135114934991580e+06
1.883838383838383947e+02 3.117175314550497569e+06
1.909090909090909065e+02 2.927599351842158474e+06
1.934343434343434183e+02 2.750400584374843631e+06
1.959595959595959584e+02 2.584507624742488842e+06
1.984848484848484986e+02 2.429511336266695522e+06
2.010101010101010104e+02 2.284177114227475598e+06
2.035353535353535221e+02 2.148212573651158251e+06
2.060606060606060623e+02 2.021014448648989201e+06
2.085858585858585741e+02 1.901676526354309171e+06
2.111111111111110858e+02 1.789801359900255688e+06
2.136363636363636260e+02 1.684885168726942502e+06
2.161616161616161662e+02 1.586551580719520804e+06
2.186868686868686780e+02 1.494227821614424698e+06
2.212121212121211897e+02 1.407642823557249503e+06
2.237373737373737299e+02 1.326337339547320968e+06
2.262626262626262701e+02 1.250073634523322107e+06
2.287878787878787818e+02 1.178369142026281916e+06
2.313131313131312936e+02 1.111024949929969618e+06
2.338383838383838338e+02 1.047719454188156640e+06
2.363636363636363455e+02 9.882384533984905574e+05
2.388888888888888857e+02 9.322819701851248974e+05
2.414141414141413975e+02 8.796593080331868259e+05
2.439393939393939377e+02 8.302395519426970277e+05
2.464646464646464494e+02 7.837060329698828282e+05
2.489898989898989896e+02 7.398730412023505196e+05
2.515151515151515014e+02 6.986262499402478570e+05
2.540404040404040416e+02 6.598215700810470153e+05
2.565656565656565817e+02 6.232309418215854093e+05
2.590909090909091219e+02 5.888108147408025106e+05
2.616161616161616053e+02 5.563870089308420429e+05
2.641414141414140886e+02 5.258229199278136948e+05
2.666666666666666288e+02 4.969821746066259802e+05
2.691919191919191690e+02 4.698042842860790552e+05
2.717171717171717091e+02 4.442260092749455944e+05
2.742424242424242493e+02 4.200520279328724137e+05
2.767676767676767895e+02 3.972660937414936488e+05
2.792929292929292728e+02 3.757894188331175828e+05
2.818181818181818130e+02 3.555107215304267593e+05
2.843434343434342964e+02 3.363728666769262054e+05
2.868686868686868365e+02 3.183082899489476113e+05
2.893939393939393767e+02 3.012654028774084290e+05
2.919191919191919169e+02 2.851547062884815386e+05
2.944444444444444571e+02 2.699555742303188890e+05
2.969696969696969973e+02 2.555894336151835450e+05
2.994949494949494806e+02 2.420204065583237680e+05
3.020202020202020208e+02 2.291985965460207372e+05
3.045454545454545041e+02 2.170733555855631712e+05
3.070707070707070443e+02 2.056256887862997246e+05
3.095959595959595845e+02 1.948008105070203310e+05
3.121212121212121247e+02 1.845749101175529067e+05
3.146464646464646648e+02 1.749110212096220057e+05
3.171717171717171482e+02 1.657602889504608174e+05
3.196969696969696884e+02 1.571072060080091760e+05
3.222222222222221717e+02 1.489196405206225754e+05
3.247474747474747119e+02 1.411709866052502184e+05
3.272727272727272521e+02 1.338486144443508820e+05
3.297979797979797922e+02 1.269170326263769966e+05
3.323232323232323324e+02 1.203527762454615295e+05
3.348484848484848726e+02 1.141450380261023092e+05
3.373737373737373559e+02 1.082704535909266997e+05
3.398989898989898961e+02 1.027050197945516848e+05
3.424242424242423795e+02 9.743164567652523692e+04
3.449494949494949196e+02 9.243885750778413785e+04
3.474747474747474598e+02 8.771102319367261953e+04
3.500000000000000000e+02 8.323381743633565202e+04
