# #for lambda=500nm
# #cos(delta)	rate
-9.999500004166652634e-01 3.773715445090383291e+07
-9.973173569503041014e-01 3.658422182113087270e+06
-9.906943849447265027e-01 1.678537105072849663e+06
-9.801075833212882227e-01 1.034736529996352037e+06
-9.655993105292455247e-01 7.246040267732661450e+05
-9.472276150669759476e-01 5.441323458683626959e+05
-9.250660032263395838e-01 4.267756767631468247e+05
-8.992031449894501982e-01 3.448628398057326558e+05
-8.697425192545836792e-01 2.850222417252765154e+05
-8.368019998106932533e-01 2.395898493957153405e+05
-8.005133837170779199e-01 2.043302991140900413e+05
-7.610218639751810121e-01 1.764781637180551188e+05
-7.184854486023944942e-01 1.537669312350812834e+05
-6.730743284321940578e-01 1.353881679257295618e+05
-6.249701961700653285e-01 1.201354418734355859e+05
-5.743655194297346833e-01 1.075187261205551767e+05
-5.214627706583202515e-01 9.696180076858533721e+04
-4.664736170315241792e-01 8.796598110445984639e+04
-4.096180735601520073e-01 8.043304758524720091e+04
-3.511236227964165124e-01 7.400522414762267726e+04
-2.912243046621564302e-01 6.849344597548917227e+04
-2.301597800406047223e-01 6.378219068497195258e+04
-1.681743718783473840e-01 5.970650169764285965e+04
-1.055160876340741349e-01 5.618649266722459288e+04
-4.243562698537111516e-02 5.315836420287182409e+04
2.081462123622328936e-02 5.055990871368964144e+04
8.398158886857212679e-02 4.830314490454639599e+04
1.468125409603351916e-01 4.638879487565471209e+04
2.090560869791707188e-01 4.474555485876162857e+04
2.704631866408296337e-01 4.335858380162331014e+04
3.307881463347652207e-01 4.221185333360632649e+04
3.897896021594906002e-01 4.124215259793159930e+04
4.472314856345048772e-01 4.046094199279005989e+04
5.028839682249094389e-01 3.984940169854940905e+04
5.565243808996169772e-01 3.942713002793664054e+04
6.079381050439408574e-01 3.909213553505203890e+04
6.569194311619719340e-01 3.888041039979267225e+04
7.032723819330148896e-01 3.878887034399723052e+04
7.468114963289933517e-01 3.878249393096801941e+04
7.873625716555132659e-01 3.883595893982888083e+04
8.247633605476379914e-01 3.895954837593431148e+04
8.588642201316464275e-01 3.911812482094813458e+04
8.895287107554445960e-01 3.930715508824478457e+04
9.166341418920662676e-01 3.950884726147649053e+04
9.400720630320736904e-01 3.970546339881784661e+04
9.597486976007659765e-01 3.991915733364625339e+04
9.755853181640639082e-01 4.008136211185051070e+04
9.875185614218523478e-01 4.021858513595065597e+04
9.955006817284698384e-01 4.031122935481035529e+04
9.994997421259953496e-01 4.035690450914197572e+04
9.994997421259953496e-01 4.035690450914197572e+04
9.955006817284698384e-01 4.031122935481035529e+04
9.875185614218523478e-01 4.021858513595065597e+04
9.755853181640640193e-01 4.008136211185051798e+04
9.597486976007660875e-01 3.991915733364626067e+04
9.400720630320738014e-01 3.970546339881784661e+04
9.166341418920662676e-01 3.950884726147649053e+04
8.895287107554445960e-01 3.930715508824478457e+04
8.588642201316467606e-01 3.911812482094813458e+04
8.247633605476382135e-01 3.895954837593431148e+04
7.873625716555135989e-01 3.883595893982888811e+04
7.468114963289933517e-01 3.878249393096801941e+04
7.032723819330152226e-01 3.878887034399722324e+04
6.569194311619722670e-01 3.888041039979267953e+04
6.079381050439413015e-01 3.909213553505202435e+04
5.565243808996174213e-01 3.942713002793664054e+04
5.028839682249094389e-01 3.984940169854940905e+04
4.472314856345052658e-01 4.046094199279008171e+04
3.897896021594906002e-01 4.124215259793159930e+04
3.307881463347654427e-01 4.221185333360631921e+04
2.704631866408302443e-01 4.335858380162329559e+04
2.090560869791707188e-01 4.474555485876162857e+04
1.468125409603356357e-01 4.638879487565467571e+04
8.398158886857190475e-02 4.830314490454639599e+04
2.081462123622351140e-02 5.055990871368964144e+04
-4.243562698537067107e-02 5.315836420287180226e+04
-1.055160876340741349e-01 5.618649266722459288e+04
-1.681743718783469399e-01 5.970650169764283783e+04
-2.301597800406040562e-01 6.378219068497190165e+04
-2.912243046621562081e-01 6.849344597548917227e+04
-3.511236227964161238e-01 7.400522414762264816e+04
-4.096180735601520073e-01 8.043304758524720091e+04
-4.664736170315241792e-01 8.796598110445984639e+04
-5.214627706583194744e-01 9.696180076858523535e+04
-5.743655194297346833e-01 1.075187261205551767e+05
-6.249701961700649955e-01 1.201354418734354986e+05
-6.730743284321940578e-01 1.353881679257295618e+05
-7.184854486023944942e-01 1.537669312350812834e+05
-7.610218639751803460e-01 1.764781637180548569e+05
-8.005133837170779199e-01 2.043302991140900413e+05
-8.368019998106930313e-01 2.395898493957151077e+05
-8.697425192545836792e-01 2.850222417252765154e+05
-8.992031449894501982e-01 3.448628398057326558e+05
-9.250660032263393617e-01 4.267756767631462426e+05
-9.472276150669759476e-01 5.441323458683626959e+05
-9.655993105292454137e-01 7.246040267732649809e+05
-9.801075833212882227e-01 1.034736529996352037e+06
-9.906943849447265027e-01 1.678537105072849663e+06
-9.973173569503039904e-01 3.658422182113026734e+06
-9.999500004166652634e-01 3.773715445090383291e+07
